Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shaquille O'Neal,22,ORL,C,79,79,2923,930,1594,.583,0,5,.000,930,1589,.585,.583,455,854,.533,328,573,901,214,73,192,204,258,2315,0,MVP-2ASNBA2,onealsh01
2,David Robinson,29,SAS,C,81,81,3074,788,1487,.530,6,20,.300,782,1467,.533,.532,656,847,.774,234,643,877,236,134,262,233,230,2238,0,MVP-1DPOY-4ASNBA1DEF1,robinda01
3,Karl Malone,31,UTA,PF,82,82,3126,830,1548,.536,11,41,.268,819,1507,.543,.540,516,695,.742,156,715,871,285,129,85,236,269,2187,0,MVP-3ASNBA1,malonka01
4,Hakeem Olajuwon,32,HOU,C,72,72,2853,798,1545,.517,3,16,.188,795,1529,.520,.517,406,537,.756,172,603,775,255,133,242,237,250,2005,1,MVP-5DPOY-3ASNBA3,olajuha01
5,Jamal Mashburn,22,DAL,SF,80,80,2980,683,1566,.436,113,344,.328,570,1222,.466,.472,447,605,.739,116,215,331,298,82,8,235,190,1926,0,,mashbja01
6,Patrick Ewing,32,NYK,C,79,79,2920,730,1452,.503,6,21,.286,724,1431,.506,.505,420,560,.750,157,710,867,212,68,159,256,272,1886,0,MVP-4AS,ewingpa01
7,Mitch Richmond,29,SAC,SG,82,82,3172,668,1497,.446,156,424,.368,512,1073,.477,.498,375,445,.843,69,288,357,311,91,29,234,227,1867,0,ASNBA2,richmmi01
8,Glen Rice,27,MIA,SF,82,82,3014,667,1403,.475,185,451,.410,482,952,.506,.541,312,365,.855,99,279,378,192,112,14,153,203,1831,0,,ricegl01
9,Glenn Robinson,22,MIL,SF,80,76,2958,636,1410,.451,86,268,.321,550,1142,.482,.482,397,499,.796,169,344,513,197,115,22,313,234,1755,0,ROY-3,robingl01
10,Scottie Pippen,29,CHI,SF,79,79,3014,634,1320,.480,109,316,.345,525,1004,.523,.522,315,440,.716,175,464,639,409,232,89,271,238,1692,1,MVP-7DPOY-2ASNBA1DEF1,pippesc01
11,Gary Payton,26,SEA,PG,82,82,3015,685,1345,.509,70,232,.302,615,1113,.553,.535,249,348,.716,108,173,281,583,204,13,201,206,1689,0,MVP-9DPOY-6ASNBA2DEF1,paytoga01
12,Dana Barros,27,PHI,PG,82,82,3318,571,1165,.490,197,425,.464,374,740,.505,.575,347,386,.899,27,247,274,619,149,4,242,159,1686,1,MIP-1AS,barroda01
13,Clyde Drexler,32,2TM,SG,76,75,2728,571,1238,.461,147,408,.360,424,830,.511,.521,364,442,.824,152,328,480,362,136,45,186,206,1653,1,MVP-14NBA3,drexlcl01
13,Clyde Drexler,32,POR,SG,41,41,1428,305,712,.428,87,240,.363,218,472,.462,.489,207,248,.835,84,150,234,208,74,22,97,117,904,0,,drexlcl01
