Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Michael Jordan,33,CHI,SG,82,82,3106,920,1892,.486,111,297,.374,809,1595,.507,.516,480,576,.833,113,369,482,352,140,44,166,156,2431,1,MVP-2DPOY-5ASNBA1DEF1,jordami01
2,Karl Malone,33,UTA,PF,82,82,2998,864,1571,.550,0,13,.000,864,1558,.555,.550,521,690,.755,193,616,809,368,113,48,233,217,2249,1,MVP-1ASNBA1DEF1,malonka01
3,Glen Rice,29,CHH,SF,79,78,3362,722,1513,.477,207,440,.470,515,1073,.480,.546,464,535,.867,67,251,318,160,72,26,177,190,2115,0,MVP-5ASNBA2,ricegl01
4,Mitch Richmond,31,SAC,SG,81,81,3125,717,1578,.454,204,477,.428,513,1101,.466,.519,457,531,.861,59,260,319,338,118,24,237,211,2095,1,MVP-13ASNBA2,richmmi01
5,Latrell Sprewell,26,GSW,SG,80,79,3353,649,1444,.449,147,415,.354,502,1029,.488,.500,493,585,.843,58,308,366,507,132,45,322,153,1938,1,AS,sprewla01
6,Hakeem Olajuwon,34,HOU,C,78,78,2852,727,1426,.510,5,16,.313,722,1410,.512,.512,351,446,.787,173,543,716,236,117,173,281,249,1810,1,MVP-7ASNBA1DEF2,olajuha01
7,Kendall Gill,28,NJN,SF,82,81,3199,644,1453,.443,74,220,.336,570,1233,.462,.469,427,536,.797,183,316,499,326,154,46,218,225,1789,0,,gillke01
8,Allen Iverson,21,PHI,PG,76,74,3045,625,1504,.416,155,455,.341,470,1049,.448,.467,382,544,.702,115,197,312,567,157,24,337,233,1787,0,MVP-17ROY-1,iversal01
9,Gary Payton,28,SEA,PG,82,82,3213,706,1482,.476,119,380,.313,587,1102,.533,.517,254,355,.715,106,272,378,583,197,13,215,208,1785,2,MVP-6DPOY-2ASNBA2DEF1,paytoga01
10,Patrick Ewing,34,NYK,C,78,78,2887,655,1342,.488,2,9,.222,653,1333,.490,.489,439,582,.754,175,659,834,156,69,189,269,250,1751,0,MVP-8ASNBA2,ewingpa01
11,Reggie Miller,31,IND,SG,81,81,2966,552,1244,.444,229,536,.427,323,708,.456,.536,418,475,.880,53,233,286,273,75,25,166,172,1751,0,,millere01
12,Grant Hill,24,DET,SF,80,80,3147,625,1259,.496,10,33,.303,615,1226,.502,.500,450,633,.711,123,598,721,583,144,48,259,186,1710,13,MVP-3ASNBA1,hillgr01
13,Glenn Robinson,24,MIL,SF,80,79,3114,669,1438,.465,63,180,.350,606,1258,.482,.487,288,364,.791,130,372,502,248,103,68,269,225,1689,0,,robingl01
14,Jerry Stackhouse,22,PHI,SG,81,81,3166,533,1308,.407,102,342,.298,431,966,.446,.446,511,667,.766,156,182,338,253,93,63,316,219,1679,0,,stackje01
15,Tom Gugliotta,27,MIN,PF,81,81,3131,592,1339,.442,24,93,.258,568,1246,.456,.451,464,566,.820,187,515,702,335,130,89,293,237,1672,0,MVP-17AS,guglito01
16,Scottie Pippen,31,CHI,SF,82,82,3095,648,1366,.474,156,424,.368,492,942,.522,.531,204,291,.701,160,371,531,467,154,45,214,213,1656,0,MVP-11DPOY-4ASNBA2DEF1,pippesc01
17,Tim Hardaway,30,MIA,PG,81,81,3136,575,1384,.415,203,590,.344,372,794,.469,.489,291,364,.799,49,228,277,695,151,9,230,165,1644,0,MVP-4ASNBA1,hardati01
18,Vin Baker,25,MIL,PF,78,78,3159,632,1251,.505,15,54,.278,617,1197,.515,.511,358,521,.687,267,537,804,211,81,112,245,275,1637,0,ASNBA3,bakervi01
19,Damon Stoudamire,23,TOR,PG,81,81,3311,564,1407,.401,176,496,.355,388,911,.426,.463,330,401,.823,86,244,330,709,123,13,288,162,1634,2,,stoudda01
20,Juwan Howard,23,WSB,SF,82,82,3324,638,1313,.486,0,2,.000,638,1311,.487,.486,294,389,.756,202,450,652,311,93,23,246,259,1570,0,,howarju01
21,Terrell Brandon,26,CLE,PG,78,78,2868,575,1313,.438,101,271,.373,474,1042,.455,.476,268,297,.902,48,253,301,490,138,30,178,177,1519,0,AS,brandte01
22,Shawn Kemp,27,SEA,PF,81,75,2750,526,1032,.510,12,33,.364,514,999,.515,.516,452,609,.742,275,532,807,156,125,81,280,320,1516,0,DPOY-6AS,kempsh01
23,Shareef Abdur-Rahim,20,VAN,PF,80,71,2802,550,1214,.453,7,27,.259,543,1187,.457,.456,387,519,.746,216,339,555,175,79,79,225,199,1494,1,ROY-3,abdursh01
24,Joe Smith,21,GSW,PF,80,80,3086,587,1293,.454,12,46,.261,575,1247,.461,.459,307,377,.814,261,418,679,125,74,86,192,244,1493,0,,smithjo02
25,Christian Laettner,27,ATL,PF,82,82,3140,548,1128,.486,31,88,.352,517,1040,.497,.500,359,440,.816,212,508,720,223,102,64,218,277,1486,0,AS,laettch01
26,Steve Smith,27,ATL,SG,72,72,2818,491,1145,.429,130,388,.335,361,757,.477,.486,333,393,.847,90,148,238,305,62,23,176,173,1445,0,MVP-17,smithst01
27,Chris Webber,23,WSB,PF,72,72,2806,604,1167,.518,60,151,.397,544,1016,.535,.543,177,313,.565,238,505,743,331,122,137,230,258,1445,2,AS,webbech01
28,Kenny Anderson,26,POR,PG,82,81,3081,485,1137,.427,132,366,.361,353,771,.458,.485,334,435,.768,91,272,363,584,162,15,193,222,1436,0,,anderke01
29,Antoine Walker,20,BOS,PF,82,68,2970,576,1354,.425,52,159,.327,524,1195,.438,.445,231,366,.631,288,453,741,262,105,53,230,271,1435,2,ROY-4,walkean02
30,Kevin Johnson,30,PHO,PG,70,70,2658,441,890,.496,89,202,.441,352,688,.512,.546,439,515,.852,54,199,253,653,102,12,217,141,1410,2,MVP-17,johnske02
31,Rod Strickland,30,WSB,PG,82,81,2997,515,1105,.466,13,77,.169,502,1028,.488,.472,367,497,.738,95,240,335,727,143,14,270,166,1410,0,,stricro02
32,Eddie Jones,25,LAL,SG,80,80,2998,473,1081,.438,152,389,.391,321,692,.464,.508,276,337,.819,90,236,326,270,189,49,169,226,1374,0,AS,jonesed02
33,Dale Ellis,36,DEN,SF,82,51,2940,477,1151,.414,192,528,.364,285,623,.457,.498,215,263,.817,99,194,293,165,60,7,146,178,1361,0,,ellisda01
34,Mookie Blaylock,29,ATL,PG,78,78,3056,501,1159,.432,221,604,.366,280,555,.505,.528,131,174,.753,114,299,413,463,212,20,185,141,1354,0,DPOY-3DEF2,blaylmo01
35,Antonio McDyess,22,DEN,PF,74,73,2565,536,1157,.463,6,35,.171,530,1122,.472,.466,274,387,.708,155,382,537,106,62,126,199,276,1352,0,,mcdyean01
36,Kerry Kittles,22,NJN,SG,82,57,3012,507,1189,.426,158,419,.377,349,770,.453,.493,175,227,.771,106,213,319,249,157,35,127,165,1347,0,ROY-5,kittlke01
37,Shaquille O'Neal,24,LAL,C,51,51,1941,552,991,.557,0,4,.000,552,987,.559,.557,232,479,.484,195,445,640,159,46,147,146,180,1336,0,MVP-9ASNBA3,onealsh01
38,Alonzo Mourning,26,MIA,C,66,65,2320,473,885,.534,1,9,.111,472,876,.539,.535,363,565,.642,189,467,656,104,56,189,226,272,1310,0,MVP-12AS,mournal01
39,Kevin Garnett,20,MIN,SF,77,77,2995,549,1100,.499,6,21,.286,543,1079,.503,.502,205,272,.754,190,428,618,236,105,163,175,199,1309,0,AS,garneke01
40,Rony Seikaly,31,ORL,C,74,68,2615,460,907,.507,0,3,.000,460,904,.509,.507,357,500,.714,274,427,701,92,49,107,218,275,1277,0,,seikaro01
41,Michael Finley,23,2TM,SF,83,54,2790,475,1071,.444,101,280,.361,374,791,.473,.491,198,245,.808,88,284,372,224,68,24,164,138,1249,0,,finlemi01
41,Michael Finley,23,PHO,SF,27,18,796,141,297,.475,14,55,.255,127,242,.525,.498,56,69,.812,34,86,120,68,18,4,44,42,352,0,,finlemi01
41,Michael Finley,23,DAL,SF,56,36,1994,334,774,.432,87,225,.387,247,549,.450,.488,142,176,.807,54,198,252,156,50,20,120,96,897,0,,finlemi01
42,David Wesley,26,BOS,PG,74,73,2991,456,974,.468,103,286,.360,353,688,.513,.521,225,288,.781,67,197,264,537,162,13,211,221,1240,0,,wesleda01
43,Jim Jackson,26,2TM,SG,77,77,2831,444,1029,.431,86,247,.348,358,782,.458,.473,252,310,.813,132,279,411,316,86,32,208,194,1226,2,,jacksji01
43,Jim Jackson,26,DAL,SG,46,46,1676,260,588,.442,46,139,.331,214,449,.477,.481,148,188,.787,81,146,227,156,57,15,107,113,714,0,,jacksji01
43,Jim Jackson,26,NJN,SF,31,31,1155,184,441,.417,40,108,.370,144,333,.432,.463,104,122,.852,51,133,184,160,29,17,101,81,512,2,,jacksji01
44,Clifford Robinson,30,POR,SF,81,79,3077,444,1043,.426,121,350,.346,323,693,.466,.484,215,309,.696,90,231,321,261,99,66,172,251,1224,0,,robincl02
45,Isaiah Rider,25,POR,SG,76,68,2563,456,983,.464,99,257,.385,357,726,.492,.514,212,261,.812,94,210,304,198,45,19,212,199,1223,0,,rideris01
46,Loy Vaught,28,LAC,PF,82,82,2838,542,1084,.500,2,12,.167,540,1072,.504,.501,134,191,.702,222,595,817,110,85,25,137,241,1220,0,,vaughlo01
47,Bryant Reeves,23,VAN,C,75,75,2777,498,1025,.486,1,11,.091,497,1014,.490,.486,216,307,.704,174,436,610,160,29,67,175,270,1213,0,,reevebr01
