Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
168,Hubert Davis,30,DAL,PG,51,7,1261,139,314,.443,58,133,.436,81,181,.448,.535,35,41,.854,18,91,109,61,29,1,56,92,371,0,,davishu01
168,Hubert Davis,30,WAS,PG,15,11,431,57,119,.479,20,38,.526,37,81,.457,.563,19,21,.905,10,20,30,49,6,0,25,29,153,0,,davishu01
169,Tyrone Nesby,25,2TM,SG,62,34,1556,189,530,.357,49,180,.272,140,350,.400,.403,85,106,.802,51,122,173,76,51,20,65,155,512,0,,nesbyty01
169,Tyrone Nesby,25,LAC,SG,14,12,333,40,123,.325,10,46,.217,30,77,.390,.366,18,23,.783,16,26,42,11,10,4,10,28,108,0,,nesbyty01
169,Tyrone Nesby,25,WAS,SF,48,22,1223,149,407,.366,39,134,.291,110,273,.403,.414,67,83,.807,35,96,131,65,41,16,55,127,404,0,,nesbyty01
170,Ben Wallace,26,DET,C,80,80,2760,215,439,.490,1,4,.250,214,435,.492,.491,80,238,.336,303,749,1052,123,107,186,117,192,511,0,DPOY-5,wallabe01
171,Isaiah Rider,29,LAL,SG,67,6,1206,201,472,.426,34,92,.370,167,380,.439,.462,71,83,.855,44,112,156,111,27,7,98,105,507,0,,rideris01
172,Brad Miller,24,CHI,C,57,45,1434,168,386,.435,1,5,.200,167,381,.438,.437,168,226,.743,144,275,419,107,33,38,73,176,505,0,,millebr01
173,Jason Caffey,27,MIL,PF,70,33,1460,179,367,.488,0,0,,179,367,.488,.488,142,211,.673,135,218,353,53,38,25,77,184,500,0,,caffeja01
174,Scot Pollard,25,SAC,C,77,8,1658,185,395,.468,0,2,.000,185,393,.471,.468,128,171,.749,173,292,465,47,48,97,66,206,498,0,,pollasc01
175,Eddie Robinson,24,CHH,SF,67,6,1201,216,407,.531,2,4,.500,214,403,.531,.533,64,88,.727,60,138,198,59,50,32,43,66,498,0,,robined01
176,Jacque Vaughn,25,UTA,PG,82,0,1620,170,393,.433,30,78,.385,140,315,.444,.471,128,164,.780,18,132,150,323,48,3,129,145,498,0,,vaughja01
177,Rod Strickland,34,2TM,PG,54,28,1371,182,429,.424,4,17,.235,178,412,.432,.429,130,173,.751,36,104,140,303,53,5,107,76,498,0,,stricro02
177,Rod Strickland,34,WAS,PG,33,28,1020,141,331,.426,4,16,.250,137,315,.435,.432,115,147,.782,25,80,105,231,43,4,83,55,401,0,,stricro02
177,Rod Strickland,34,POR,PG,21,0,351,41,98,.418,0,1,.000,41,97,.423,.418,15,26,.577,11,24,35,72,10,1,24,21,97,0,,stricro02
178,Eric Snow,27,PHI,PG,50,50,1740,182,435,.418,5,19,.263,177,416,.425,.424,122,154,.792,27,139,166,369,77,7,124,123,491,0,,snower01
179,Michael Doleac,23,ORL,C,77,21,1398,220,527,.417,0,3,.000,220,524,.420,.417,50,59,.847,70,203,273,65,37,41,59,239,490,0,,doleami01
180,Vonteego Cummings,24,GSW,PG,66,11,1495,178,517,.344,48,143,.336,130,374,.348,.391,79,116,.681,47,90,137,227,67,14,91,160,483,0,,cummivo01
181,Robert Pack,31,DEN,PG,74,11,1260,181,426,.425,12,31,.387,169,395,.428,.439,105,137,.766,30,107,137,293,65,1,135,114,479,1,,packro01
182,Dana Barros,33,DET,PG,60,0,1079,183,412,.444,44,105,.419,139,307,.453,.498,68,80,.850,6,88,94,110,30,2,60,63,478,0,,barroda01
183,Shammond Williams,25,SEA,PG,69,6,1238,161,368,.438,61,133,.459,100,235,.426,.520,84,96,.875,34,98,132,190,31,4,82,83,467,0,,willish01
184,Desmond Mason,23,SEA,SF,78,14,1522,189,439,.431,18,67,.269,171,372,.460,.451,67,91,.736,72,177,249,63,39,20,53,146,463,0,,masonde01
185,Anthony Carter,25,MIA,PG,72,6,1630,195,480,.406,6,40,.150,189,440,.430,.413,65,103,.631,46,134,180,268,73,10,119,154,461,0,,cartean01
186,Damon Jones,24,VAN,PG,71,10,1415,170,416,.409,84,231,.364,86,185,.465,.510,37,52,.712,16,108,124,224,36,1,76,58,461,0,,jonesda01
187,Keyon Dooling,20,LAC,PG,76,1,1237,148,362,.409,28,80,.350,120,282,.426,.448,125,179,.698,8,81,89,177,41,11,94,107,449,0,,doolike01
188,Danny Ferry,34,SAS,SF,80,29,1688,178,375,.475,70,156,.449,108,219,.493,.568,22,30,.733,55,168,223,71,28,21,50,169,448,0,,ferryda01
189,Chris Mihm,21,CLE,C,59,43,1166,173,391,.442,0,1,.000,173,390,.444,.442,100,126,.794,106,174,280,16,20,53,80,156,446,0,,mihmch01
190,Sean Rooks,31,LAC,C,82,0,1553,169,395,.428,1,2,.500,168,393,.427,.429,107,143,.748,91,212,303,77,34,64,73,197,446,0,,rooksse01
191,Shawn Kemp,31,POR,PF,68,3,1083,168,413,.407,4,11,.364,164,402,.408,.412,101,131,.771,63,196,259,65,45,23,99,184,441,0,,kempsh01
192,Nazr Mohammed,23,2TM,C,58,22,912,176,369,.477,0,1,.000,176,368,.478,.477,89,126,.706,115,192,307,19,29,35,64,113,441,0,,mohamna01
192,Nazr Mohammed,23,PHI,C,30,3,196,41,88,.466,0,0,,41,88,.466,.466,14,28,.500,18,37,55,2,6,7,9,40,96,0,,mohamna01
192,Nazr Mohammed,23,ATL,C,28,19,716,135,281,.480,0,1,.000,135,280,.482,.480,75,98,.765,97,155,252,17,23,28,55,73,345,0,,mohamna01
193,Chris Porter,22,GSW,SF,51,35,1147,173,445,.389,0,5,.000,173,440,.393,.389,94,141,.667,89,100,189,61,45,6,59,111,440,0,,portech01
