Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shaquille O'Neal,26,LAL,C,49,49,1705,510,885,.576,0,1,.000,510,884,.577,.576,269,498,.540,187,338,525,114,36,82,122,155,1289,0,MVP-6NBA2,onealsh01
2,Allen Iverson,23,PHI,SG,48,48,1990,435,1056,.412,58,199,.291,377,857,.440,.439,356,474,.751,66,170,236,223,110,7,167,98,1284,0,MVP-4NBA1,iversal01
3,Karl Malone,35,UTA,PF,49,49,1832,393,797,.493,0,1,.000,393,796,.494,.493,378,480,.788,107,356,463,201,62,28,162,134,1164,1,MVP-1NBA1DEF1,malonka01
4,Shareef Abdur-Rahim,22,VAN,SF,50,50,2021,386,893,.432,11,36,.306,375,857,.438,.438,369,439,.841,114,260,374,172,69,55,186,137,1152,0,,abdursh01
5,Tim Duncan,22,SAS,PF,50,50,1963,418,845,.495,1,7,.143,417,838,.498,.495,247,358,.690,159,412,571,121,45,126,146,147,1084,0,MVP-3DPOY-5NBA1DEF1,duncati01
6,Gary Payton,30,SEA,PG,50,50,2008,401,923,.434,83,281,.295,318,642,.495,.479,199,276,.721,62,182,244,436,109,12,154,115,1084,1,MVP-9DPOY-3NBA2DEF1,paytoga01
7,Antonio McDyess,24,DEN,C,50,50,1937,415,882,.471,1,9,.111,414,873,.474,.471,230,338,.680,168,369,537,82,73,115,138,175,1061,0,NBA3,mcdyean01
8,Grant Hill,26,DET,SF,50,50,1852,384,802,.479,0,14,.000,384,788,.487,.479,285,379,.752,65,290,355,300,80,27,184,114,1053,1,MVP-8NBA2,hillgr01
9,Stephon Marbury,21,2TM,PG,49,49,1895,378,883,.428,66,197,.335,312,686,.455,.465,222,278,.799,37,105,142,437,59,8,164,125,1044,0,,marbust01
9,Stephon Marbury,21,MIN,PG,18,18,661,124,304,.408,8,39,.205,116,265,.438,.421,63,87,.724,17,45,62,167,29,5,55,44,319,0,,marbust01
9,Stephon Marbury,21,NJN,PG,31,31,1234,254,579,.439,58,158,.367,196,421,.466,.489,159,191,.832,20,60,80,270,30,3,109,81,725,0,,marbust01
10,Michael Finley,25,DAL,SF,50,50,2051,389,876,.444,45,136,.331,344,740,.465,.470,186,226,.823,69,194,263,218,66,15,107,96,1009,0,,finlemi01
11,Kobe Bryant,20,LAL,SG,50,50,1896,362,779,.465,27,101,.267,335,678,.494,.482,245,292,.839,53,211,264,190,72,50,157,153,996,0,NBA3,bryanko01
