Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Nikola Jokić,29,DEN,C,138,331,.417,648,1033,.627,,,,
Giannis Antetokounmpo,30,MIL,PF,14,63,.222,779,1256,.620,,,,
Jayson Tatum,26,BOS,PF,250,728,.343,412,737,.559,,,,
Karl-Anthony Towns,29,NYK,C,142,338,.420,497,877,.567,,,,
Kevin Durant,36,PHX,PF,160,372,.430,432,752,.574,,,,
Jaren Jackson Jr.,25,MEM,C,146,389,.375,446,824,.541,,,,
Pascal Siakam,30,IND,PF,126,324,.389,487,858,.568,,,,
Alperen Şengün,22,HOU,C,21,90,.233,546,1053,.519,,,,
Bam Adebayo,27,MIA,C,79,221,.357,461,892,.517,,,,
Nikola Vučević,34,CHI,C,129,321,.402,421,717,.587,,,,
Ivica Zubac,27,LAC,C,0,0,,592,942,.628,,,,
Domantas Sabonis,28,SAC,C,65,156,.417,462,737,.627,,,,
OG Anunoby,27,NYK,PF,171,460,.372,318,567,.561,,,,
Evan Mobley,23,CLE,PF,85,230,.370,420,676,.621,,,,
Miles Bridges,26,CHA,PF,141,450,.313,328,639,.513,,,,
Julius Randle,30,MIN,PF,108,314,.344,347,625,.555,,,,
Anthony Davis,31,2TM,C,35,124,.282,435,786,.553,,,,
Scottie Barnes,23,TOR,PF,76,280,.271,398,783,.508,,,,
Paolo Banchero,22,ORL,PF,87,272,.320,325,639,.509,,,,
Naz Reid,25,MIN,C,175,462,.379,251,461,.544,,,,
Myles Turner,28,IND,C,156,394,.396,234,417,.561,,,,
Victor Wembanyama,21,SAS,C,142,403,.352,266,454,.586,,,,
Jarrett Allen,26,CLE,C,0,5,.000,452,635,.712,,,,
Cameron Johnson,28,BKN,PF,159,408,.390,196,339,.578,,,,
Brook Lopez,36,MIL,C,139,373,.373,255,401,.636,,,,
Harrison Barnes,32,SAS,PF,156,360,.433,191,323,.591,,,,
Tobias Harris,32,DET,PF,91,264,.345,293,541,.542,,,,
Jaden McDaniels,24,MIN,PF,100,303,.330,298,531,.561,,,,
Onyeka Okongwu,24,ATL,C,48,148,.324,340,536,.634,,,,
Jimmy Butler,35,MIA,PF,13,36,.361,129,227,.568,,,,
Kyle Kuzma,29,2TM,PF,96,313,.307,274,535,.512,,,,
Keegan Murray,24,SAC,PF,154,449,.343,210,371,.566,,,,
Jalen Duren,21,DET,C,0,0,,378,546,.692,,,,
Lauri Markkanen,27,UTA,PF,138,399,.346,158,301,.525,,,,
Toumani Camara,24,POR,PF,135,360,.375,193,356,.542,,,,
Alex Sarr,19,WAS,C,105,341,.308,221,487,.454,,,,
Rudy Gobert,32,MIN,C,0,0,,341,510,.669,,,,
Jonas Valančiūnas,32,2TM,C,8,37,.216,337,590,.571,,,,
P.J. Washington,26,DAL,PF,91,239,.381,210,426,.493,,,,
Obi Toppin,26,IND,PF,110,301,.365,207,298,.695,,,,
Jakob Poeltl,29,TOR,C,1,3,.333,362,576,.628,,,,
Kristaps Porziņģis,29,BOS,C,103,250,.412,174,324,.537,,,,
Santi Aldama,24,MEM,PF,120,326,.368,193,322,.599,,,,
Georges Niang,31,2TM,PF,166,409,.406,120,211,.569,,,,
Rui Hachimura,26,LAL,PF,102,247,.413,191,329,.581,,,,
Guerschon Yabusele,29,PHI,C,104,274,.380,178,289,.616,,,,
John Collins,27,UTA,PF,59,148,.399,221,383,.577,,,,
Jalen Wilson,24,BKN,PF,122,362,.337,124,258,.481,,,,
Aaron Gordon,29,DEN,PF,75,172,.436,189,325,.582,,,,
Zion Williamson,24,NOP,PF,3,13,.231,285,495,.576,,,,
Nic Claxton,25,BKN,C,5,21,.238,315,547,.576,,,,
Jonathan Kuminga,22,GSW,PF,46,151,.305,212,417,.508,,,,
Daniel Gafford,26,DAL,C,0,0,,283,403,.702,,,,
Jabari Smith Jr.,21,HOU,PF,98,277,.354,150,289,.519,,,,
Kyle Filipowski,21,UTA,C,77,220,.350,183,298,.614,,,,
Tari Eason,23,HOU,PF,63,184,.342,209,375,.557,,,,
Bobby Portis,29,MIL,PF,65,178,.365,212,417,.508,,,,
Jerami Grant,30,POR,PF,108,296,.365,106,278,.381,,,,
Mark Williams,23,CHA,C,0,4,.000,270,443,.609,,,,
Paul George,34,PHI,PF,96,268,.358,149,302,.493,,,,
Yves Missi,20,NOP,C,0,1,.000,269,491,.548,,,,
Walker Kessler,23,UTA,C,6,34,.176,272,385,.706,,,,
Isaiah Hartenstein,26,OKC,C,0,19,.000,279,461,.605,,,,
Wendell Carter Jr.,25,ORL,C,37,158,.234,189,333,.568,,,,
Jeremy Sochan,21,SAS,PF,28,91,.308,223,378,.590,,,,
Draymond Green,34,GSW,PF,80,246,.325,136,263,.517,,,,
Zach Edey,22,MEM,C,18,52,.346,233,381,.612,,,,
Sam Hauser,27,BOS,PF,166,399,.416,48,75,.640,,,,
Kel'el Ware,20,MIA,C,35,111,.315,222,353,.629,,,,
Deandre Ayton,26,POR,C,6,32,.188,259,436,.594,,,,
Patrick Williams,23,CHI,PF,96,272,.353,109,244,.447,,,,
Dorian Finney-Smith,31,2TM,PF,129,314,.411,66,121,.545,,,,
Al Horford,38,BOS,C,114,314,.363,81,147,.551,,,,
Brandon Clarke,28,MEM,PF,1,17,.059,235,363,.647,,,,
Nick Richards,27,2TM,C,0,2,.000,205,345,.594,,,,
Jalen Smith,24,CHI,C,72,222,.324,118,186,.634,,,,
Goga Bitadze,25,ORL,C,3,28,.107,204,311,.656,,,,
Chris Boucher,32,TOR,PF,70,193,.363,112,177,.633,,,,
Nikola Jović,21,MIA,PF,78,210,.371,94,167,.563,,,,
Clint Capela,30,ATL,C,0,1,.000,218,389,.560,,,,
Chet Holmgren,22,OKC,C,44,116,.379,123,225,.547,,,,
Jarace Walker,21,IND,PF,75,185,.405,95,175,.543,,,,
Jake LaRavia,23,2TM,PF,60,142,.423,100,195,.513,,,,
Jusuf Nurkić,30,2TM,C,32,105,.305,136,247,.551,,,,
Joel Embiid,30,PHI,C,23,77,.299,117,238,.492,,,,
Trey Lyles,29,SAC,PF,81,238,.340,76,136,.559,,,,
Trendon Watford,24,BKN,PF,29,88,.330,135,262,.515,,,,
Luke Kornet,29,BOS,C,0,3,.000,187,277,.675,,,,
Jay Huff,26,MEM,C,81,200,.405,76,105,.724,,,,
Donovan Clingan,20,POR,C,14,49,.286,166,285,.582,,,,
Kenrich Williams,30,OKC,PF,66,171,.386,105,183,.574,,,,
Isaiah Stewart,23,DET,C,17,53,.321,159,262,.607,,,,
Thomas Bryant,27,2TM,C,48,148,.324,115,173,.665,,,,
Noah Clowney,20,BKN,PF,87,261,.333,46,111,.414,,,,
Jeremiah Robinson-Earl,24,NOP,PF,56,164,.341,102,183,.557,,,,
Trayce Jackson-Davis,24,GSW,C,0,3,.000,174,299,.582,,,,
Zach Collins,27,2TM,PF,32,106,.302,121,196,.617,,,,
Moussa Diabaté,23,CHA,C,0,6,.000,167,274,.609,,,,
Day'Ron Sharpe,23,BKN,C,11,45,.244,154,272,.566,,,,
Jonathan Mogbo,23,TOR,PF,17,70,.243,139,286,.486,,,,
Moritz Wagner,27,ORL,C,27,75,.360,113,174,.649,,,,
Sandro Mamukelashvili,25,SAS,PF,60,161,.373,81,120,.675,,,,
Kelly Olynyk,33,2TM,C,33,79,.418,101,189,.534,,,,
Jaxson Hayes,24,LAL,C,0,3,.000,161,220,.732,,,,
Jonathan Isaac,27,ORL,PF,39,151,.258,95,173,.549,,,,
Precious Achiuwa,25,NYK,C,10,36,.278,154,291,.529,,,,
Kyle Anderson,31,2TM,PF,25,70,.357,117,233,.502,,,,
Tidjane Salaün,19,CHA,PF,58,205,.283,56,140,.400,,,,
Kevon Looney,28,GSW,C,2,5,.400,141,273,.516,,,,
Quinten Post,24,GSW,PF,73,179,.408,50,95,.526,,,,
Adem Bona,21,PHI,C,0,1,.000,135,191,.707,,,,
Mason Plumlee,34,PHX,C,0,4,.000,125,198,.631,,,,
Tristan Vukcevic,21,WAS,C,38,102,.373,82,140,.586,,,,
Karlo Matković,23,NOP,PF,21,66,.318,114,169,.675,,,,
Dean Wade,28,CLE,PF,80,222,.360,32,49,.653,,,,
Dereck Lively II,20,DAL,C,0,0,,134,191,.702,,,,
Nicolas Batum,36,LAC,PF,88,203,.433,16,35,.457,,,,
Jabari Walker,22,POR,PF,28,72,.389,90,157,.573,,,,
Neemias Queta,25,BOS,C,0,3,.000,132,200,.660,,,,
Orlando Robinson,24,2TM,C,17,52,.327,99,209,.474,,,,
Andre Drummond,31,PHI,C,3,20,.150,114,214,.533,,,,
Drew Eubanks,27,2TM,C,3,6,.500,112,188,.596,,,,
Jaylin Williams,22,OKC,PF,61,153,.399,36,68,.529,,,,
KJ Martin,24,2TM,PF,15,58,.259,96,143,.671,,,,
Oso Ighodaro,22,PHX,PF,0,2,.000,113,185,.611,,,,
Bol Bol,25,PHX,PF,32,93,.344,64,90,.711,,,,
Richaun Holmes,31,WAS,PF,0,3,.000,90,136,.662,,,,
Gui Santos,22,GSW,PF,34,103,.330,48,76,.632,,,,
Steven Adams,31,HOU,C,0,2,.000,91,165,.552,,,,
GG Jackson II,20,MEM,PF,32,95,.337,42,104,.404,,,,
DeAndre Jordan,36,DEN,C,0,0,,91,140,.650,,,,
Larry Nance Jr.,32,ATL,PF,34,76,.447,46,79,.582,,,,
Olivier-Maxence Prosper,22,DAL,PF,12,51,.235,58,123,.472,,,,
Jock Landale,29,HOU,C,11,26,.423,70,126,.556,,,,
Kai Jones,24,2TM,C,1,5,.200,86,104,.827,,,,
Mouhamed Gueye,22,ATL,PF,21,81,.259,51,90,.567,,,,
Duop Reath,28,POR,C,34,106,.321,36,60,.600,,,,
Zeke Nnaji,24,DEN,PF,17,52,.327,53,89,.596,,,,
Paul Reed,25,DET,C,8,28,.286,64,114,.561,,,,
Jeff Green,38,HOU,PF,29,79,.367,32,42,.762,,,,
Grant Williams,26,CHA,PF,27,74,.365,27,49,.551,,,,
Micah Potter,26,UTA,C,31,98,.316,26,37,.703,,,,
Daniel Theis,32,NOP,C,9,37,.243,52,92,.565,,,,
Charles Bassey,24,SAS,C,0,0,,68,117,.581,,,,
David Roddy,23,3TM,PF,19,61,.311,38,64,.594,,,,
Dominick Barlow,21,ATL,PF,7,27,.259,53,86,.616,,,,
Jarred Vanderbilt,25,LAL,PF,9,32,.281,50,89,.562,,,,
Bismack Biyombo,32,SAS,C,0,0,,67,114,.588,,,,
Ousmane Dieng,21,OKC,C,23,71,.324,31,54,.574,,,,
Luka Garza,26,MIN,C,10,36,.278,42,69,.609,,,,
Mo Bamba,26,2TM,C,15,54,.278,37,58,.638,,,,
Marvin Bagley III,25,2TM,PF,3,19,.158,52,87,.598,,,,
Isaac Jones,24,SAC,PF,3,8,.375,51,75,.680,,,,
Hunter Tyson,24,DEN,PF,23,74,.311,22,46,.478,,,,
Anthony Gill,32,WAS,PF,10,31,.323,33,57,.579,,,,
Colin Castleton,24,3TM,C,2,16,.125,44,82,.537,,,,
Branden Carlson,25,OKC,C,22,66,.333,21,31,.677,,,,
Kevin Love,36,MIA,PF,24,67,.358,17,48,.354,,,,
Robert Williams,27,POR,C,1,3,.333,49,75,.653,,,,
Dwight Powell,33,DAL,C,2,5,.400,40,56,.714,,,,
Drew Timme,24,BKN,PF,9,35,.257,36,67,.537,,,,
Taj Gibson,39,CHA,C,1,2,.500,46,93,.495,,,,
Oscar Tshiebwe,25,UTA,C,0,0,,42,70,.600,,,,
Maxi Kleber,33,DAL,PF,13,49,.265,24,47,.511,,,,
Jericho Sims,26,2TM,C,0,0,,45,71,.634,,,,
Trey Jemison,25,2TM,C,0,0,,41,74,.554,,,,
Christian Koloko,24,LAL,C,0,4,.000,40,62,.645,,,,
Mitchell Robinson,26,NYK,C,0,0,,37,56,.661,,,,
Jordan Walsh,20,BOS,PF,15,55,.273,15,28,.536,,,,
Kobe Brown,25,LAC,PF,6,26,.231,27,46,.587,,,,
Alex Reese,25,2TM,PF,15,41,.366,11,13,.846,,,,
Moses Brown,25,2TM,C,0,0,,34,49,.694,,,,
Lamar Stevens,27,MEM,PF,8,27,.296,21,36,.583,,,,
Alex Len,31,2TM,C,2,9,.222,30,54,.556,,,,
JT Thor,22,2TM,PF,6,21,.286,19,38,.500,,,,
Tristan Thompson,33,CLE,C,0,3,.000,31,68,.456,,,,
Tyler Smith,20,MIL,PF,13,30,.433,11,20,.550,,,,
Tony Bradley,27,IND,C,1,3,.333,28,42,.667,,,,
Bruno Fernando,26,TOR,C,0,0,,26,49,.531,,,,
Dario Šarić,30,DEN,C,7,26,.269,14,32,.438,,,,
Markieff Morris,35,2TM,PF,9,36,.250,12,34,.353,,,,
Drew Peterson,25,BOS,PF,13,33,.394,4,8,.500,,,,
Chuma Okeke,26,2TM,PF,11,28,.393,9,12,.750,,,,
Ariel Hukporti,22,NYK,C,0,0,,21,31,.677,,,,
Enrique Freeman,24,IND,PF,1,10,.100,15,27,.556,,,,
Pete Nance,24,2TM,C,9,24,.375,5,8,.625,,,,
Nae'Qwan Tomlin,24,CLE,PF,2,10,.200,11,22,.500,,,,
Isaiah Jackson,23,IND,C,0,0,,14,23,.609,,,,
Xavier Tillman Sr.,26,BOS,C,5,32,.156,8,21,.381,,,,
Kylor Kelley,27,2TM,C,0,0,,14,22,.636,,,,
PJ Hall,22,DEN,C,2,8,.250,12,16,.750,,,,
Vlatko Čančar,27,DEN,PF,4,15,.267,6,11,.545,,,,
N'Faly Dante,23,HOU,C,0,0,,10,13,.769,,,,
Jae Crowder,34,SAC,PF,4,15,.267,3,7,.429,,,,
Jackson Rowe,28,GSW,PF,3,10,.300,5,7,.714,,,,
E.J. Liddell,24,CHI,PF,3,10,.300,5,5,1.000,,,,
Taylor Hendricks,21,UTA,PF,3,12,.250,1,6,.167,,,,
Jack McVeigh,28,HOU,PF,4,13,.308,1,4,.250,,,,
Tolu Smith,24,DET,PF,0,0,,6,9,.667,,,,
Emanuel Miller,24,CHI,PF,0,1,.000,4,7,.571,,,,
Liam Robbins,25,MIL,C,0,2,.000,2,6,.333,,,,
James Johnson,37,IND,PF,0,3,.000,4,8,.500,,,,
Adama Sanogo,22,CHI,C,0,0,,4,7,.571,,,,
Phillip Wheeler,22,PHI,PF,0,10,.000,3,11,.273,,,,
Miles Norris,24,BOS,PF,2,7,.286,0,2,.000,,,,
Isaiah Mobley,25,PHI,PF,1,3,.333,1,4,.250,,,,
James Wiseman,23,IND,C,0,1,.000,2,3,.667,,,,
Ulrich Chomche,19,TOR,PF,0,0,,2,5,.400,,,,
Skal Labissière,28,SAC,PF,1,1,1.000,1,3,.333,,,,
Jesse Edwards,24,MIN,C,0,0,,0,0,,,,,
Jahlil Okafor,29,IND,C,0,0,,0,0,,,,,
Terry Taylor,25,SAC,PF,0,0,,0,1,.000,,,,
