Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Amar'e Stoudemire,28,NYK,C,10,23,.435,734,1459,.503,,,,
Blake Griffin,21,LAC,PF,7,24,.292,689,1352,.510,,,,
Dwight Howard,25,ORL,C,0,7,.000,619,1037,.597,,,,
LaMarcus Aldridge,25,POR,PF,4,23,.174,703,1392,.505,,,,
Dirk Nowitzki,32,DAL,PF,66,168,.393,544,1011,.538,,,,
Brook Lopez,22,BKN,C,0,1,.000,644,1308,.492,,,,
Pau Gasol,30,LAL,C,1,3,.333,592,1117,.530,,,,
Al Jefferson,26,UTA,C,0,0,,654,1319,.496,,,,
Zach Randolph,29,MEM,PF,8,43,.186,590,1145,.515,,,,
Kevin Love,22,MIN,PF,88,211,.417,394,815,.483,,,,
Chris Bosh,26,MIA,PF,6,25,.240,518,1031,.502,,,,
Andrea Bargnani,25,TOR,C,77,223,.345,448,950,.472,,,,
Luis Scola,30,HOU,PF,0,3,.000,569,1126,.505,,,,
David West,30,NOP,PF,2,9,.222,526,1031,.510,,,,
Paul Millsap,25,UTA,PF,9,23,.391,516,965,.535,,,,
Josh Smith,25,ATL,PF,51,154,.331,446,887,.503,,,,
Elton Brand,31,PHI,PF,0,1,.000,502,980,.512,,,,
David Lee,27,GSW,PF,1,3,.333,495,975,.508,,,,
Lamar Odom,31,LAL,PF,68,178,.382,405,715,.566,,,,
Al Horford,24,ATL,C,2,4,.500,511,917,.557,,,,
DeMarcus Cousins,20,SAC,C,3,18,.167,429,986,.435,,,,
Gerald Wallace,28,POR,PF,27,80,.338,107,189,.566,,,,
J.J. Hickson,22,CLE,C,0,5,.000,429,931,.461,,,,
Nenê,28,DEN,C,1,5,.200,401,649,.618,,,,
Andray Blatche,24,WAS,PF,4,18,.222,422,939,.449,,,,
Kevin Garnett,34,BOS,PF,1,5,.200,433,817,.530,,,,
Thaddeus Young,22,PHI,PF,6,22,.273,452,825,.548,,,,
Carlos Boozer,29,CHI,C,0,0,,431,845,.510,,,,
Roy Hibbert,24,IND,C,0,4,.000,410,886,.463,,,,
Tim Duncan,34,SAS,C,0,4,.000,419,834,.502,,,,
