Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
LeBron James,28,MIA,PF,103,254,.406,662,1100,.602,,,,
Carmelo Anthony,28,NYK,PF,157,414,.379,512,1075,.476,,,,
LaMarcus Aldridge,27,POR,PF,2,14,.143,636,1304,.488,,,,
David Lee,29,GSW,PF,0,4,.000,602,1156,.521,,,,
Blake Griffin,23,LAC,PF,5,28,.179,572,1044,.548,,,,
Brook Lopez,24,BKN,C,0,1,.000,570,1093,.522,,,,
Al Jefferson,28,UTA,C,2,17,.118,609,1219,.500,,,,
Josh Smith,27,ATL,PF,61,201,.303,489,981,.498,,,,
Ryan Anderson,24,NOP,PF,213,557,.382,259,558,.464,,,,
Greg Monroe,22,DET,C,0,4,.000,514,1054,.488,,,,
Dwight Howard,27,LAL,C,1,6,.167,469,807,.581,,,,
Al Horford,26,ATL,C,3,6,.500,573,1054,.544,,,,
Carlos Boozer,31,CHI,PF,0,2,.000,544,1138,.478,,,,
DeMarcus Cousins,22,SAC,C,4,22,.182,478,1014,.471,,,,
David West,32,IND,PF,4,19,.211,498,990,.503,,,,
Chris Bosh,28,MIA,C,21,74,.284,464,833,.557,,,,
Tim Duncan,36,SAS,C,2,7,.286,488,969,.504,,,,
Zach Randolph,31,MEM,PF,2,23,.087,469,1001,.469,,,,
Paul Millsap,27,UTA,PF,13,39,.333,416,836,.498,,,,
Marc Gasol,28,MEM,C,1,14,.071,428,855,.501,,,,
Thaddeus Young,24,PHI,PF,1,8,.125,508,950,.535,,,,
Serge Ibaka,23,OKC,PF,20,57,.351,426,721,.591,,,,
Luis Scola,32,PHX,PF,3,16,.188,429,899,.477,,,,
Jeff Green,26,BOS,PF,70,182,.385,306,624,.490,,,,
J.J. Hickson,24,POR,C,0,2,.000,418,742,.563,,,,
Nikola Peković,27,MIN,C,0,0,,385,741,.520,,,,
Nikola Vučević,22,ORL,C,0,3,.000,461,886,.520,,,,
Kevin Garnett,36,BOS,C,2,16,.125,420,834,.504,,,,
Ersan İlyasova,25,MIL,PF,95,214,.444,276,589,.469,,,,
Tristan Thompson,21,CLE,PF,0,3,.000,390,796,.490,,,,
Roy Hibbert,26,IND,C,1,4,.250,384,855,.449,,,,
Derrick Williams,21,MIN,PF,65,196,.332,273,590,.463,,,,
Robin Lopez,24,NOP,C,0,0,,384,719,.534,,,,
Kenneth Faried,23,DEN,PF,0,0,,380,689,.552,,,,
Dirk Nowitzki,34,DAL,PF,65,157,.414,278,571,.487,,,,
Spencer Hawes,24,PHI,C,31,87,.356,345,724,.477,,,,
Jason Thompson,26,SAC,PF,0,3,.000,374,742,.504,,,,
Carl Landry,29,GSW,PF,1,3,.333,324,599,.541,,,,
Anthony Davis,19,NOP,PF,0,6,.000,349,670,.521,,,,
Andray Blatche,26,BKN,C,3,22,.136,343,654,.524,,,,
Tiago Splitter,28,SAS,PF,0,2,.000,315,561,.561,,,,
Ömer Aşık,26,HOU,C,0,1,.000,332,613,.542,,,,
Amir Johnson,25,TOR,PF,5,13,.385,331,593,.558,,,,
Shawn Marion,34,DAL,PF,23,73,.315,332,617,.538,,,,
Joakim Noah,27,CHI,C,0,5,.000,303,625,.485,,,,
Nenê,30,WAS,PF,0,1,.000,285,593,.481,,,,
Emeka Okafor,30,WAS,C,0,0,,328,687,.477,,,,
Patrick Patterson,23,2TM,PF,51,132,.386,268,491,.546,,,,
Derrick Favors,21,UTA,PF,0,5,.000,274,563,.487,,,,
DeAndre Jordan,24,LAC,C,0,0,,314,488,.643,,,,
Kevin Séraphin,23,WAS,C,0,0,,330,716,.461,,,,
JaVale McGee,25,DEN,C,1,1,1.000,302,526,.574,,,,
Antawn Jamison,36,LAL,PF,84,233,.361,183,342,.535,,,,
Brandon Bass,27,BOS,PF,0,2,.000,286,587,.487,,,,
Larry Sanders,24,MIL,C,0,2,.000,306,603,.507,,,,
Dante Cunningham,25,MIN,PF,0,6,.000,314,665,.472,,,,
Chris Kaman,30,DAL,C,0,1,.000,313,616,.508,,,,
Tyson Chandler,30,NYK,C,0,0,,255,400,.638,,,,
Marcin Gortat,28,PHX,C,0,3,.000,295,563,.524,,,,
Pau Gasol,32,LAL,PF,8,28,.286,262,551,.475,,,,
Markieff Morris,23,PHX,PF,45,134,.336,221,519,.426,,,,
Marreese Speights,25,2TM,C,3,10,.300,257,574,.448,,,,
Kosta Koufos,23,DEN,C,0,1,.000,295,507,.582,,,,
Ed Davis,23,2TM,PF,0,0,,260,482,.539,,,,
Tyler Zeller,23,CLE,C,0,4,.000,245,555,.441,,,,
Tobias Harris,20,ORL,PF,27,87,.310,153,310,.494,,,,
Marcus Morris,23,2TM,PF,86,233,.369,136,293,.464,,,,
Andrew Nicholson,23,ORL,PF,0,0,,256,486,.527,,,,
Tyler Hansbrough,27,IND,PF,0,3,.000,176,404,.436,,,,
Byron Mullens,23,CHA,PF,66,208,.317,151,355,.425,,,,
Wilson Chandler,25,DEN,PF,52,126,.413,158,329,.480,,,,
Jonas Valančiūnas,20,TOR,C,0,0,,204,366,.557,,,,
Brandan Wright,25,DAL,C,0,3,.000,241,401,.601,,,,
Elton Brand,33,DAL,C,0,1,.000,226,477,.474,,,,
Taj Gibson,27,CHI,PF,0,4,.000,214,437,.490,,,,
Glen Davis,27,ORL,PF,0,2,.000,214,476,.450,,,,
Enes Freedom,20,UTA,C,1,1,1.000,205,378,.542,,,,
Jason Maxiell,29,DET,PF,0,0,,204,457,.446,,,,
Chris Copeland,28,NYK,PF,59,140,.421,123,240,.513,,,,
Andre Drummond,19,DET,C,1,2,.500,207,340,.609,,,,
Charlie Villanueva,28,DET,PF,90,259,.347,85,205,.415,,,,
Lavoy Allen,23,PHI,C,0,1,.000,206,453,.455,,,,
Jermaine O'Neal,34,PHX,C,0,0,,179,371,.482,,,,
Ivan Johnson,28,ATL,PF,1,13,.077,184,343,.536,,,,
Andrea Bargnani,27,TOR,PF,38,123,.309,132,303,.436,,,,
Boris Diaw,30,SAS,PF,30,78,.385,149,254,.587,,,,
Earl Clark,25,LAL,PF,35,104,.337,135,282,.479,,,,
Greg Smith,22,HOU,C,0,1,.000,170,273,.623,,,,
Jason Smith,26,NOP,C,0,4,.000,167,337,.496,,,,
Amar'e Stoudemire,30,NYK,PF,0,0,,154,267,.577,,,,
Nick Collison,32,OKC,C,0,4,.000,176,292,.603,,,,
Ian Mahinmi,26,IND,C,0,2,.000,149,327,.456,,,,
Josh McRoberts,25,2TM,PF,24,84,.286,132,259,.510,,,,
Bismack Biyombo,20,CHA,C,0,0,,156,346,.451,,,,
John Henson,22,MIL,PF,0,3,.000,162,333,.486,,,,
Jonas Jerebko,25,DET,PF,25,83,.301,117,233,.502,,,,
Meyers Leonard,20,POR,C,3,7,.429,148,270,.548,,,,
Kris Humphries,27,BKN,PF,0,2,.000,139,308,.451,,,,
Reggie Evans,32,BKN,PF,0,0,,125,261,.479,,,,
Darrell Arthur,24,MEM,PF,5,18,.278,157,341,.460,,,,
Anderson Varejão,30,CLE,C,0,5,.000,138,284,.486,,,,
Thomas Robinson,21,2TM,PF,0,1,.000,138,320,.431,,,,
Kevin Love,24,MIN,PF,20,92,.217,85,206,.413,,,,
Lamar Odom,33,LAC,PF,18,90,.200,128,276,.464,,,,
Kendrick Perkins,28,OKC,C,0,1,.000,143,312,.458,,,,
DeJuan Blair,23,SAS,PF,0,1,.000,142,270,.526,,,,
Ekpe Udoh,25,MIL,C,0,1,.000,117,268,.437,,,,
Samuel Dalembert,31,MIL,C,1,1,1.000,136,252,.540,,,,
Greg Stiemsma,27,MIN,C,0,0,,127,278,.457,,,,
Zaza Pachulia,28,ATL,C,0,3,.000,114,238,.479,,,,
Udonis Haslem,32,MIA,PF,0,0,,129,251,.514,,,,
Matt Bonner,32,SAS,PF,53,120,.442,59,110,.536,,,,
Rashard Lewis,33,MIA,PF,51,131,.389,52,118,.441,,,,
Jared Sullinger,20,BOS,PF,1,5,.200,110,220,.500,,,,
Chris Wilcox,30,BOS,C,0,1,.000,110,152,.724,,,,
Trevor Booker,25,WAS,PF,0,5,.000,108,215,.502,,,,
Donatas Motiejūnas,22,HOU,PF,24,83,.289,73,130,.562,,,,
