Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Ashraf Amaya,25,WAS,PF,1,1,1.000,11,39,.282,,,,
Jack Haley,33,BKN,C,0,0,,13,37,.351,,,,
Herb Williams,38,NYK,PF,0,1,.000,18,45,.400,,,,
Ben Wallace,22,WAS,PF,0,0,,16,46,.348,,,,
Kevin Salvadori,26,SAC,C,0,0,,12,33,.364,,,,
Eric Leckner,30,2TM,C,0,0,,14,33,.424,,,,
Horacio Llamas,23,PHX,C,0,0,,15,28,.536,,,,
Dwayne Schintzius,28,LAC,C,1,2,.500,12,34,.353,,,,
Ben Davis,24,PHX,PF,0,0,,10,26,.385,,,,
Amal McCaskill,23,ORL,C,0,2,.000,10,30,.333,,,,
Joe Courtney,27,2TM,PF,0,0,,11,30,.367,,,,
Stacey King,30,2TM,C,0,0,,11,22,.500,,,,
Fred Roberts,36,DAL,PF,0,0,,6,15,.400,,,,
Shawnelle Scott,24,CLE,C,0,0,,8,16,.500,,,,
Tom Chambers,37,CHA,PF,2,3,.667,5,28,.179,,,,
Brent Scott,25,IND,PF,0,0,,8,17,.471,,,,
Devin Gray,24,2TM,PF,0,0,,8,26,.308,,,,
Mike Brown,33,PHX,C,0,0,,5,12,.417,,,,
Pervis Ellison,29,BOS,PF,0,0,,6,16,.375,,,,
Antonio Harvey,26,OKC,PF,0,0,,5,11,.455,,,,
Benoit Benjamin,32,TOR,C,0,0,,5,12,.417,,,,
Steve Scheffler,29,OKC,C,0,0,,6,7,.857,,,,
Brad Lohaus,32,TOR,PF,2,7,.286,2,8,.250,,,,
LaSalle Thompson,35,2TM,C,0,0,,3,19,.158,,,,
Robert Werdann,26,BKN,C,0,0,,3,7,.429,,,,
Earl Cureton,39,TOR,PF,0,0,,3,8,.375,,,,
Keith Tower,26,MIL,C,0,0,,3,8,.375,,,,
Jimmy Carruth,27,MIL,PF,0,0,,2,3,.667,,,,
Charles Jones,39,HOU,PF,0,0,,2,5,.400,,,,
Tim Kempton,33,SAS,PF,0,0,,1,5,.200,,,,
Larry Krystkowiak,32,LAL,PF,0,0,,1,2,.500,,,,
Joe Stephens,24,HOU,PF,1,3,.333,0,2,.000,,,,
Matt Fish,27,2TM,C,0,0,,1,3,.333,,,,
Derrick Alston,24,ATL,C,0,0,,0,5,.000,,,,
Anthony Miller,25,ATL,PF,0,0,,0,5,.000,,,,
Elmore Spencer,27,OKC,C,0,0,,0,1,.000,,,,
