Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Shaquille O'Neal,28,LAL,C,0,2,.000,813,1420,.573,,,,
Chris Webber,27,SAC,PF,2,28,.071,784,1607,.488,,,,
Antoine Walker,24,BOS,PF,221,603,.367,490,1117,.439,,,,
Karl Malone,37,UTA,PF,2,5,.400,668,1340,.499,,,,
Tim Duncan,24,SAS,PF,7,27,.259,695,1379,.504,,,,
Kevin Garnett,24,MIN,PF,19,66,.288,685,1409,.486,,,,
Dirk Nowitzki,22,DAL,PF,151,390,.387,440,857,.513,,,,
Elton Brand,21,CHI,PF,0,2,.000,578,1213,.477,,,,
Rasheed Wallace,26,POR,PF,52,162,.321,538,1016,.530,,,,
Juwan Howard,27,2TM,PF,0,3,.000,583,1215,.480,,,,
Antonio McDyess,26,DEN,PF,0,0,,577,1165,.495,,,,
Clifford Robinson,34,PHX,PF,90,249,.361,411,937,.439,,,,
Lamar Odom,21,LAC,PF,80,253,.316,401,793,.506,,,,
Anthony Mason,34,MIA,PF,0,0,,460,954,.482,,,,
Brian Grant,28,MIA,C,0,1,.000,484,1009,.480,,,,
Rashard Lewis,21,OKC,PF,123,285,.432,303,602,.503,,,,
David Robinson,35,SAS,C,0,1,.000,400,822,.487,,,,
Antonio Davis,32,TOR,C,0,1,.000,375,865,.434,,,,
Jermaine O'Neal,22,IND,C,0,5,.000,404,863,.468,,,,
Elden Campbell,32,CHA,PF,0,6,.000,367,828,.443,,,,
Raef LaFrentz,24,DEN,C,51,139,.367,336,673,.499,,,,
Vlade Divac,32,SAC,C,4,14,.286,360,741,.486,,,,
Tim Thomas,23,MIL,PF,107,260,.412,219,498,.440,,,,
Vin Baker,29,OKC,PF,1,16,.063,346,806,.429,,,,
Clarence Weatherspoon,30,CLE,PF,0,0,,347,692,.501,,,,
Lorenzen Wright,25,ATL,C,0,2,.000,363,809,.449,,,,
Joe Smith,25,DET,PF,0,5,.000,308,760,.405,,,,
Chris Gatling,33,CLE,PF,28,92,.304,301,641,.470,,,,
Aaron Williams,29,BKN,PF,0,2,.000,297,648,.458,,,,
Austin Croshere,25,IND,PF,70,207,.338,206,494,.417,,,,
Kenyon Martin,23,BKN,PF,1,11,.091,345,766,.450,,,,
Kurt Thomas,28,NYK,PF,1,3,.333,313,611,.512,,,,
LaPhonso Ellis,30,MIN,PF,7,22,.318,291,620,.469,,,,
Alan Henderson,28,ATL,PF,0,1,.000,298,670,.445,,,,
Patrick Ewing,38,OKC,C,0,2,.000,294,682,.431,,,,
Marcus Camby,26,NYK,C,1,8,.125,303,572,.530,,,,
Dikembe Mutombo,34,2TM,C,0,0,,269,556,.484,,,,
Charles Oakley,37,TOR,PF,11,49,.224,294,737,.399,,,,
Tyrone Hill,32,PHI,PF,0,1,.000,278,586,.474,,,,
Christian Laettner,31,2TM,C,4,13,.308,273,538,.507,,,,
Kevin Willis,38,2TM,C,1,6,.167,303,684,.443,,,,
Michael Olowokandi,25,LAC,C,0,0,,308,708,.435,,,,
Hakeem Olajuwon,38,HOU,C,0,1,.000,283,567,.499,,,,
Marcus Fizer,22,CHI,PF,10,39,.256,268,607,.442,,,,
P.J. Brown,31,CHA,C,0,4,.000,249,557,.447,,,,
Othella Harrington,27,2TM,C,0,3,.000,247,504,.490,,,,
Horace Grant,35,LAL,PF,0,3,.000,263,566,.465,,,,
John Amaechi,30,ORL,C,0,7,.000,237,585,.405,,,,
Larry Johnson,31,NYK,PF,51,163,.313,195,435,.448,,,,
Keon Clark,25,2TM,PF,0,1,.000,249,518,.481,,,,
Marc Jackson,26,GSW,C,5,23,.217,232,485,.478,,,,
Bryant Reeves,27,MEM,C,1,4,.250,253,548,.462,,,,
Theo Ratliff,27,PHI,C,0,0,,228,457,.499,,,,
Arvydas Sabonis,36,POR,C,1,15,.067,246,501,.491,,,,
Vitaly Potapenko,25,BOS,C,0,0,,248,521,.476,,,,
Danny Manning,34,UTA,PF,7,28,.250,240,472,.508,,,,
Al Harrington,20,IND,PF,1,7,.143,240,536,.448,,,,
Jahidi White,24,WAS,C,0,1,.000,203,407,.499,,,,
Bo Outlaw,29,ORL,PF,1,2,.500,225,366,.615,,,,
Dale Davis,31,POR,C,0,4,.000,242,483,.501,,,,
Shawn Bradley,28,DAL,C,1,6,.167,218,441,.494,,,,
Kenny Thomas,23,HOU,PF,25,92,.272,181,373,.485,,,,
Ben Wallace,26,DET,C,1,4,.250,214,435,.492,,,,
Brad Miller,24,CHI,C,1,5,.200,167,381,.438,,,,
Jason Caffey,27,MIL,PF,0,0,,179,367,.488,,,,
Scot Pollard,25,SAC,C,0,2,.000,185,393,.471,,,,
Michael Doleac,23,ORL,C,0,3,.000,220,524,.420,,,,
Chris Mihm,21,CLE,C,0,1,.000,173,390,.444,,,,
Sean Rooks,31,LAC,C,1,2,.500,168,393,.427,,,,
Shawn Kemp,31,POR,PF,4,11,.364,164,402,.408,,,,
Nazr Mohammed,23,2TM,C,0,1,.000,176,368,.478,,,,
Malik Rose,26,SAS,PF,3,17,.176,157,351,.447,,,,
Olden Polynice,36,UTA,C,0,1,.000,206,414,.498,,,,
Robert Horry,30,LAL,PF,54,156,.346,93,224,.415,,,,
Scott Williams,32,MIL,C,1,4,.250,170,357,.476,,,,
Robert Traylor,23,CLE,C,0,2,.000,161,322,.500,,,,
Grant Long,34,MEM,PF,4,15,.267,136,304,.447,,,,
Stromile Swift,21,MEM,PF,0,4,.000,153,335,.457,,,,
Jerome Williams,27,2TM,PF,0,3,.000,136,291,.467,,,,
A.C. Green,37,MIA,PF,0,6,.000,144,318,.453,,,,
Greg Ostertag,27,UTA,C,1,2,.500,138,279,.495,,,,
Tom Gugliotta,31,PHX,PF,3,12,.250,146,368,.397,,,,
Mikki Moore,25,DET,C,0,1,.000,132,267,.494,,,,
Matt Bullard,33,HOU,PF,86,213,.404,43,92,.467,,,,
Adonal Foyle,25,GSW,C,0,0,,156,375,.416,,,,
Jamaal Magloire,22,CHA,C,0,2,.000,122,269,.454,,,,
Rasho Nesterović,24,MIN,C,0,1,.000,147,318,.462,,,,
Samaki Walker,24,SAS,PF,1,3,.333,120,249,.482,,,,
Erick Dampier,25,GSW,C,0,2,.000,126,312,.404,,,,
Chris Crawford,25,ATL,PF,6,22,.273,116,248,.468,,,,
Jelani McCoy,23,OKC,C,0,0,,138,264,.523,,,,
Corie Blount,32,2TM,PF,2,8,.250,128,286,.448,,,,
Michael Smith,28,WAS,PF,0,1,.000,106,217,.488,,,,
Cherokee Parks,28,2TM,C,0,6,.000,134,268,.500,,,,
Calvin Booth,24,2TM,C,0,0,,120,252,.476,,,,
Lawrence Funderburke,30,SAC,PF,0,0,,120,242,.496,,,,
Zydrunas Ilgauskas,25,CLE,C,0,2,.000,114,232,.491,,,,
Derrick Coleman,33,CHA,PF,20,51,.392,77,204,.377,,,,
Ervin Johnson,33,MIL,C,0,0,,108,198,.545,,,,
Andrew DeClercq,27,ORL,C,0,0,,107,193,.554,,,,
Tony Battie,24,BOS,C,0,3,.000,108,198,.545,,,,
Todd MacCulloch,25,PHI,C,0,0,,109,185,.589,,,,
Jake Tsakalidis,21,PHX,C,0,0,,101,215,.470,,,,
Reggie Slater,30,MIN,PF,0,0,,90,175,.514,,,,
Evan Eschmeyer,25,BKN,C,0,0,,92,200,.460,,,,
Jeff Foster,24,IND,C,2,7,.286,98,206,.476,,,,
Mark Blount,25,BOS,C,0,0,,101,200,.505,,,,
Sam Perkins,39,IND,PF,38,110,.345,48,116,.414,,,,
Tony Massenburg,33,MEM,PF,0,0,,92,199,.462,,,,
Isaac Austin,31,MEM,C,6,24,.250,90,246,.366,,,,
Žan Tabak,30,IND,C,0,0,,98,186,.527,,,,
Matt Geiger,31,PHI,C,0,2,.000,88,222,.396,,,,
Don Reid,27,ORL,PF,0,0,,82,145,.566,,,,
Billy Owens,31,DET,PF,3,20,.150,85,210,.405,,,,
Carlos Rogers,29,HOU,C,0,1,.000,75,109,.688,,,,
Dean Garrett,34,MIN,C,0,0,,75,156,.481,,,,
Alonzo Mourning,30,MIA,C,0,1,.000,73,140,.521,,,,
Daniel Santiago,24,PHX,C,0,0,,64,134,.478,,,,
Adam Keefe,30,GSW,PF,1,3,.333,63,156,.404,,,,
Loy Vaught,32,2TM,PF,0,0,,80,169,.473,,,,
Kelvin Cato,26,HOU,C,0,0,,64,111,.577,,,,
Popeye Jones,30,WAS,PF,1,6,.167,59,147,.401,,,,
Brian Skinner,24,LAC,PF,0,0,,64,161,.398,,,,
Mark Pope,28,MIL,PF,5,24,.208,57,118,.483,,,,
Otis Thorpe,38,CHA,PF,0,0,,59,131,.450,,,,
Mark Madsen,25,LAL,PF,1,1,1.000,54,112,.482,,,,
Gary Trent,26,DAL,PF,0,1,.000,57,129,.442,,,,
Walter McCarty,26,BOS,PF,19,56,.339,26,70,.371,,,,
Eduardo Nájera,24,DAL,PF,1,3,.333,57,108,.528,,,,
Greg Foster,32,LAL,C,3,9,.333,53,124,.427,,,,
Eric Montross,29,2TM,C,0,0,,56,138,.406,,,,
Michael Ruffin,24,CHI,PF,0,0,,40,90,.444,,,,
Derek Strong,32,LAC,PF,0,1,.000,45,116,.388,,,,
Dragan Tarlać,27,CHI,C,0,0,,39,99,.394,,,,
Obinna Ekezie,25,2TM,PF,0,0,,32,81,.395,,,,
Danny Fortson,24,GSW,PF,0,0,,29,50,.580,,,,
Vladimir Stepania,24,BKN,C,1,4,.250,27,84,.321,,,,
Duane Causwell,32,MIA,C,0,0,,32,85,.376,,,,
Rubén Wolkowyski,27,OKC,PF,0,2,.000,25,77,.325,,,,
Chris Dudley,35,PHX,C,0,0,,29,73,.397,,,,
Jason Collier,23,HOU,C,0,1,.000,27,70,.386,,,,
Bill Curley,28,2TM,PF,1,2,.500,24,45,.533,,,,
Scott Padgett,24,UTA,PF,5,9,.556,13,34,.382,,,,
Luc Longley,32,NYK,C,0,0,,18,54,.333,,,,
Dalibor Bagarić,20,CHI,C,0,1,.000,17,64,.266,,,,
Soumaila Samake,22,BKN,C,0,0,,18,48,.375,,,,
Olumide Oyedeji,19,OKC,C,0,0,,18,37,.486,,,,
Shawnelle Scott,28,SAS,C,0,0,,17,41,.415,,,,
Bruno Šundov,20,IND,C,0,4,.000,20,37,.541,,,,
Felton Spencer,33,NYK,C,0,0,,12,20,.600,,,,
Jérôme Moïso,22,BOS,C,0,1,.000,12,29,.414,,,,
Terry Davis,33,DEN,PF,0,0,,12,25,.480,,,,
Michael Stewart,25,TOR,C,0,0,,11,34,.324,,,,
Stanislav Medvedenko,21,LAL,PF,1,1,1.000,11,24,.458,,,,
Brian Cardinal,23,DET,PF,0,5,.000,10,26,.385,,,,
Antonio Harvey,30,POR,PF,0,0,,13,28,.464,,,,
Jake Voskuhl,23,CHI,C,0,0,,11,25,.440,,,,
Travis Knight,26,NYK,C,0,1,.000,10,52,.192,,,,
Todd Fuller,26,MIA,C,0,0,,10,35,.286,,,,
Jim McIlvaine,28,BKN,C,0,0,,10,28,.357,,,,
Joel Przybilla,21,MIL,C,0,0,,12,35,.343,,,,
Jabari Smith,23,SAC,C,0,0,,11,22,.500,,,,
Terry Mills,33,IND,PF,3,17,.176,8,17,.471,,,,
Wang Zhizhi,23,DAL,C,0,2,.000,8,17,.471,,,,
Jamie Feick,26,BKN,C,0,0,,8,23,.348,,,,
Donnell Harvey,20,DAL,PF,0,0,,8,14,.571,,,,
Mark Bryant,35,DAL,PF,0,0,,8,20,.400,,,,
Steve Goodrich,24,CHI,PF,1,3,.333,6,15,.400,,,,
Dan McClintock,23,DEN,C,0,0,,9,18,.500,,,,
Rubén Garcés,27,2TM,PF,0,0,,7,22,.318,,,,
Will Perdue,35,POR,C,0,0,,6,9,.667,,,,
J.R. Reid,32,CLE,PF,0,0,,2,5,.400,,,,
Zendon Hamilton,25,LAC,C,0,0,,2,9,.222,,,,
Etdrick Bohannon,27,CLE,PF,0,0,,2,4,.500,,,,
Tom Hammonds,33,MIN,PF,0,0,,3,10,.300,,,,
Pervis Ellison,33,OKC,C,0,0,,2,7,.286,,,,
Mamadou N'Diaye,25,TOR,C,0,0,,1,4,.250,,,,
John Coker,29,GSW,C,0,0,,1,8,.125,,,,
Garth Joseph,27,2TM,C,0,0,,1,5,.200,,,,
Anthony Miller,29,3TM,PF,0,0,,1,2,.500,,,,
Lari Ketner,23,IND,PF,0,0,,0,0,,,,,
Art Long,28,SAC,PF,0,0,,0,4,.000,,,,
