Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Amar'e Stoudemire,22,PHX,C,3,16,.188,744,1320,.564,,,,
Dirk Nowitzki,26,DAL,PF,91,228,.399,572,1217,.470,,,,
Kevin Garnett,28,MIN,PF,6,25,.240,677,1335,.507,,,,
Shaquille O'Neal,32,MIA,C,0,0,,658,1095,.601,,,,
Elton Brand,25,LAC,PF,0,3,.000,629,1248,.504,,,,
Shawn Marion,26,PHX,PF,114,341,.334,499,948,.526,,,,
Antoine Walker,28,2TM,PF,110,341,.323,471,1036,.455,,,,
Yao Ming,24,HOU,C,0,0,,538,975,.552,,,,
Chris Bosh,20,TOR,PF,3,10,.300,470,995,.472,,,,
Tim Duncan,28,SAS,PF,3,9,.333,514,1033,.498,,,,
Antawn Jamison,28,WAS,PF,71,208,.341,448,981,.457,,,,
Zydrunas Ilgauskas,29,CLE,C,2,7,.286,456,972,.469,,,,
Chris Webber,31,2TM,PF,15,44,.341,540,1239,.436,,,,
Drew Gooden,23,CLE,PF,5,28,.179,459,915,.502,,,,
Rasheed Wallace,30,DET,PF,75,236,.318,392,826,.475,,,,
Emeka Okafor,22,CHA,PF,0,1,.000,448,1002,.447,,,,
Kenyon Martin,27,DEN,PF,0,12,.000,444,895,.496,,,,
Troy Murphy,24,GSW,PF,59,148,.399,333,799,.417,,,,
Jermaine O'Neal,26,IND,PF,1,6,.167,385,848,.454,,,,
Mehmet Okur,25,UTA,C,17,63,.270,337,693,.486,,,,
Eddy Curry,22,CHI,C,0,0,,393,730,.538,,,,
Pau Gasol,24,MEM,PF,1,6,.167,356,689,.517,,,,
Dwight Howard,19,ORL,PF,0,2,.000,352,675,.521,,,,
Lamar Odom,25,LAL,PF,36,117,.308,330,657,.502,,,,
Marc Jackson,30,PHI,C,0,2,.000,340,729,.466,,,,
Primož Brezec,25,CHA,C,0,0,,387,756,.512,,,,
Kurt Thomas,32,NYK,PF,2,4,.500,422,897,.470,,,,
Shareef Abdur-Rahim,28,POR,PF,15,39,.385,322,631,.510,,,,
Carlos Boozer,23,UTA,PF,0,1,.000,361,692,.522,,,,
Kenny Thomas,27,2TM,PF,1,5,.200,366,776,.472,,,,
P.J. Brown,35,NOP,PF,0,0,,338,758,.446,,,,
Raef LaFrentz,28,BOS,PF,82,225,.364,259,463,.559,,,,
Brad Miller,28,SAC,C,5,19,.263,314,590,.532,,,,
Zach Randolph,23,POR,PF,0,6,.000,332,735,.452,,,,
Udonis Haslem,24,MIA,PF,0,4,.000,346,637,.543,,,,
Joe Smith,29,MIL,PF,0,1,.000,319,620,.515,,,,
Mark Blount,29,BOS,C,0,1,.000,327,617,.530,,,,
Lorenzen Wright,29,MEM,C,0,3,.000,320,680,.471,,,,
Nenad Krstić,21,BKN,PF,0,2,.000,281,568,.495,,,,
Donyell Marshall,31,TOR,PF,151,363,.416,111,229,.485,,,,
Vladimir Radmanović,24,OKC,PF,128,329,.389,138,321,.430,,,,
Corliss Williamson,31,2TM,PF,0,2,.000,273,582,.469,,,,
Antonio McDyess,30,DET,PF,0,1,.000,307,597,.514,,,,
Chris Mihm,25,LAL,C,0,2,.000,280,550,.509,,,,
Nazr Mohammed,27,2TM,C,0,1,.000,289,601,.481,,,,
Ben Wallace,30,DET,C,1,9,.111,294,642,.458,,,,
Keith Van Horn,29,2TM,PF,54,142,.380,203,422,.481,,,,
Marcus Camby,30,DEN,C,0,4,.000,279,596,.468,,,,
Mike Sweetney,22,NYK,C,0,1,.000,237,445,.533,,,,
Austin Croshere,29,IND,PF,45,174,.259,143,323,.443,,,,
Tyson Chandler,22,CHI,C,0,2,.000,207,417,.496,,,,
Andrei Kirilenko,23,UTA,PF,23,77,.299,184,343,.536,,,,
Brendan Haywood,25,WAS,C,0,0,,239,427,.560,,,,
Darius Songaila,26,SAC,PF,0,3,.000,257,485,.530,,,,
Stromile Swift,25,MEM,PF,0,4,.000,219,484,.452,,,,
Predrag Drobnjak,29,ATL,C,25,71,.352,213,472,.451,,,,
Dan Gadzuric,26,MIL,C,0,0,,243,451,.539,,,,
Matt Bonner,24,TOR,C,39,92,.424,208,371,.561,,,,
Samuel Dalembert,23,PHI,C,0,0,,250,477,.524,,,,
Juwan Howard,31,HOU,PF,0,1,.000,244,540,.452,,,,
Melvin Ely,26,CHA,PF,0,0,,227,526,.432,,,,
Chris Kaman,22,LAC,C,0,1,.000,246,494,.498,,,,
Othella Harrington,31,CHI,PF,0,0,,217,424,.512,,,,
Erick Dampier,29,DAL,C,0,3,.000,202,364,.555,,,,
Malik Rose,30,2TM,PF,1,10,.100,197,431,.457,,,,
Clifford Robinson,38,2TM,PF,67,193,.347,135,330,.409,,,,
Nenê,22,DEN,C,0,2,.000,194,384,.505,,,,
Eddie Griffin,22,MIN,PF,67,204,.328,135,318,.425,,,,
Brian Cardinal,27,MEM,PF,44,125,.352,116,307,.378,,,,
Chris Andersen,26,NOP,C,0,3,.000,191,355,.538,,,,
Jason Collins,26,BKN,C,2,6,.333,184,445,.413,,,,
Antonio Davis,36,CHI,PF,0,0,,193,419,.461,,,,
Boštjan Nachbar,24,NOP,PF,65,175,.371,81,193,.420,,,,
Joel Przybilla,25,POR,C,0,0,,199,333,.598,,,,
Al Jefferson,20,BOS,PF,0,3,.000,195,366,.533,,,,
Maurice Taylor,28,2TM,PF,3,9,.333,200,437,.458,,,,
Nick Collison,24,OKC,C,0,3,.000,190,351,.541,,,,
Danny Fortson,28,OKC,C,0,0,,118,226,.522,,,,
Brian Cook,24,LAL,C,78,199,.392,98,223,.439,,,,
Zaza Pachulia,20,MIL,C,0,1,.000,160,353,.453,,,,
Robert Horry,34,SAS,PF,51,138,.370,106,237,.447,,,,
Rodney Rogers,33,PHI,PF,23,76,.303,40,85,.471,,,,
Kelvin Cato,30,ORL,C,0,0,,160,297,.539,,,,
