Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Ivica Zubac,21,2TM,C,0,0,,212,379,.559,,,,
Ante Žižić,22,CLE,C,0,0,,183,331,.553,,,,
Tyler Zeller,29,2TM,C,0,1,.000,16,29,.552,,,,
Cody Zeller,26,CHA,C,6,22,.273,184,323,.570,,,,
Thaddeus Young,30,IND,PF,51,146,.349,392,695,.564,,,,
Guerschon Yabusele,23,BOS,PF,9,28,.321,26,49,.531,,,,
Christian Wood,23,2TM,PF,9,26,.346,52,91,.571,,,,
D.J. Wilson,22,MIL,PF,46,127,.362,58,124,.468,,,,
Robert Williams,21,BOS,C,0,0,,36,51,.706,,,,
Marvin Williams,32,CHA,PF,140,382,.366,135,270,.500,,,,
Johnathan Williams,23,LAL,C,0,2,.000,65,108,.602,,,,
Alan Williams,26,BKN,PF,0,1,.000,8,12,.667,,,,
Hassan Whiteside,29,MIA,C,2,16,.125,386,664,.581,,,,
Okaro White,26,WAS,PF,0,2,.000,0,0,,,,,
Thomas Welsh,22,DEN,C,3,7,.429,4,6,.667,,,,
Moritz Wagner,21,LAL,C,22,77,.286,49,94,.521,,,,
Nikola Vučević,28,ORL,C,84,231,.364,617,1123,.549,,,,
Noah Vonleh,23,NYK,PF,46,137,.336,161,303,.531,,,,
Jarred Vanderbilt,19,DEN,PF,0,1,.000,9,18,.500,,,,
Jonas Valančiūnas,26,2TM,C,14,48,.292,287,490,.586,,,,
Ekpe Udoh,31,UTA,C,0,0,,50,72,.694,,,,
Myles Turner,22,IND,C,76,196,.388,304,584,.521,,,,
P.J. Tucker,33,HOU,PF,146,387,.377,61,136,.449,,,,
Karl-Anthony Towns,23,MIN,C,142,355,.400,539,959,.562,,,,
Anthony Tolliver,33,MIN,PF,81,215,.377,18,44,.409,,,,
Tristan Thompson,27,CLE,C,0,0,,201,380,.529,,,,
Lance Thomas,30,NYK,PF,22,79,.278,56,118,.475,,,,
Daniel Theis,26,BOS,C,26,67,.388,120,199,.603,,,,
Emanuel Terry,22,2TM,PF,0,0,,4,7,.571,,,,
Caleb Swanigan,21,2TM,PF,1,7,.143,17,46,.370,,,,
Omari Spellman,21,ATL,PF,44,128,.344,54,116,.466,,,,
Ray Spalding,21,2TM,PF,0,3,.000,25,44,.568,,,,
Jason Smith,32,3TM,C,9,26,.346,12,33,.364,,,,
Pascal Siakam,24,TOR,PF,79,214,.369,440,731,.602,,,,
Mike Scott,30,2TM,PF,101,252,.401,67,168,.399,,,,
Dario Šarić,24,2TM,PF,118,323,.365,186,373,.499,,,,
Domantas Sabonis,22,IND,C,9,17,.529,404,683,.592,,,,
Mitchell Robinson,20,NYK,C,0,0,,202,291,.694,,,,
Julius Randle,24,NOP,PF,67,195,.344,504,894,.564,,,,
Ivan Rabb,21,MEM,PF,3,15,.200,113,197,.574,,,,
Zhou Qi,23,HOU,PF,0,0,,1,1,1.000,,,,
Alex Poythress,25,ATL,PF,9,23,.391,31,58,.534,,,,
Dwight Powell,27,DAL,C,39,127,.307,251,359,.699,,,,
Bobby Portis,23,2TM,PF,75,191,.393,204,437,.467,,,,
Jakob Poeltl,23,SAS,C,0,0,,187,290,.645,,,,
Miles Plumlee,30,ATL,C,0,0,,32,48,.667,,,,
Mason Plumlee,28,DEN,C,2,10,.200,260,432,.602,,,,
Justin Patton,21,PHI,C,0,2,.000,2,5,.400,,,,
Patrick Patterson,29,OKC,PF,46,137,.336,36,82,.439,,,,
Jabari Parker,23,2TM,PF,61,195,.313,308,554,.556,,,,
Zaza Pachulia,34,DET,C,0,4,.000,85,189,.450,,,,
Kelly Olynyk,27,MIA,PF,113,319,.354,148,245,.604,,,,
Jahlil Okafor,23,NOP,C,1,5,.200,211,357,.591,,,,
Semi Ojeleye,24,BOS,PF,28,89,.315,39,69,.565,,,,
Kyle O'Quinn,28,IND,C,1,12,.083,68,124,.548,,,,
Jusuf Nurkić,24,POR,C,3,29,.103,417,797,.523,,,,
Dirk Nowitzki,40,DAL,PF,64,205,.312,71,171,.415,,,,
Nerlens Noel,24,OKC,C,0,0,,162,276,.587,,,,
Joakim Noah,33,MEM,C,0,1,.000,110,212,.519,,,,
Georges Niang,25,UTA,PF,43,105,.410,43,76,.566,,,,
Larry Nance Jr.,26,CLE,C,33,98,.337,216,381,.567,,,,
Mike Muscala,27,2TM,PF,89,256,.348,56,105,.533,,,,
Johnathan Motley,23,LAC,PF,0,3,.000,39,70,.557,,,,
Donatas Motiejūnas,28,SAS,PF,0,0,,3,6,.500,,,,
Markieff Morris,29,2TM,PF,68,203,.335,136,281,.484,,,,
Marcus Morris,29,BOS,PF,146,389,.375,231,455,.508,,,,
Eric Moreland,27,2TM,PF,1,1,1.000,2,6,.333,,,,
Greg Monroe,28,3TM,C,1,5,.200,91,184,.495,,,,
Nikola Mirotić,27,2TM,PF,116,318,.365,122,224,.545,,,,
Paul Millsap,33,DEN,PF,58,159,.365,264,506,.522,,,,
Chimezie Metu,21,SAS,PF,0,2,.000,19,56,.339,,,,
Salah Mejri,32,DAL,C,11,34,.324,44,78,.564,,,,
JaVale McGee,31,LAL,C,1,12,.083,399,629,.634,,,,
Luc Mbah a Moute,32,LAC,PF,2,6,.333,6,12,.500,,,,
Yante Maten,22,MIA,PF,0,1,.000,1,3,.333,,,,
Jarell Martin,24,ORL,PF,20,57,.351,23,47,.489,,,,
Lauri Markkanen,21,CHI,PF,120,332,.361,222,463,.479,,,,
Boban Marjanović,30,2TM,C,4,10,.400,156,250,.624,,,,
Thon Maker,21,2TM,PF,49,153,.320,60,115,.522,,,,
Ian Mahinmi,32,WAS,C,3,16,.188,44,88,.500,,,,
