Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Trey Lyles,23,DEN,PF,51,200,.255,156,295,.529,,,,
Tyler Lydon,22,DEN,PF,4,10,.400,5,8,.625,,,,
Kevin Love,30,CLE,PF,53,147,.361,56,136,.412,,,,
Robin Lopez,30,CHI,C,7,31,.226,297,504,.589,,,,
Brook Lopez,30,MIL,C,187,512,.365,168,274,.613,,,,
Kevon Looney,22,GSW,C,1,10,.100,216,337,.641,,,,
Jon Leuer,29,DET,PF,1,11,.091,65,102,.637,,,,
Meyers Leonard,26,POR,C,50,111,.450,82,131,.626,,,,
Alex Len,25,ATL,C,74,204,.363,246,444,.554,,,,
T.J. Leaf,21,IND,PF,8,31,.258,91,152,.599,,,,
Skal Labissière,22,2TM,PF,6,13,.462,20,36,.556,,,,
Kyle Kuzma,23,LAL,PF,128,422,.303,368,665,.553,,,,
Kosta Koufos,29,SAC,C,0,0,,73,153,.477,,,,
Luke Kornet,23,NYK,C,70,193,.363,37,90,.411,,,,
Kevin Knox,19,NYK,PF,125,364,.343,213,550,.387,,,,
Maxi Kleber,27,DAL,PF,77,218,.353,98,168,.583,,,,
Michael Kidd-Gilchrist,25,CHA,PF,16,47,.340,142,285,.498,,,,
Frank Kaminsky,25,CHA,C,50,139,.360,88,159,.553,,,,
DeAndre Jordan,30,2TM,C,0,0,,286,446,.641,,,,
Terrence Jones,27,HOU,PF,0,2,.000,1,2,.500,,,,
Damian Jones,23,GSW,C,0,0,,53,74,.716,,,,
Nikola Jokić,23,DEN,C,83,270,.307,533,936,.569,,,,
James Johnson,31,MIA,PF,50,149,.336,114,230,.496,,,,
Amir Johnson,31,PHI,C,12,40,.300,67,117,.573,,,,
Alize Johnson,22,IND,PF,1,2,.500,3,14,.214,,,,
Jonas Jerebko,31,GSW,PF,69,188,.367,94,167,.563,,,,
Amile Jefferson,25,ORL,PF,0,0,,10,16,.625,,,,
Jaren Jackson Jr.,19,MEM,PF,51,142,.359,247,447,.553,,,,
Jonathan Isaac,21,ORL,PF,86,266,.323,176,345,.510,,,,
Joe Ingles,31,UTA,PF,189,483,.391,170,319,.533,,,,
Ersan İlyasova,31,MIL,PF,58,160,.363,109,221,.493,,,,
Serge Ibaka,29,TOR,C,49,169,.290,415,708,.586,,,,
Isaac Humphries,21,ATL,C,3,11,.273,3,10,.300,,,,
Dwight Howard,33,WAS,C,0,0,,43,69,.623,,,,
Al Horford,32,BOS,C,73,203,.360,314,520,.604,,,,
Richaun Holmes,25,PHX,C,0,0,,222,365,.608,,,,
Nenê,36,HOU,C,0,3,.000,60,113,.531,,,,
Isaiah Hicks,24,NYK,PF,0,0,,4,8,.500,,,,
Willy Hernangómez,24,CHA,C,15,39,.385,138,256,.539,,,,
Juancho Hernangómez,23,DEN,PF,66,181,.365,72,133,.541,,,,
John Henson,28,MIL,C,11,31,.355,20,36,.556,,,,
Gordon Hayward,28,BOS,PF,77,231,.333,219,404,.542,,,,
Udonis Haslem,38,MIA,C,0,12,.000,11,21,.524,,,,
Isaiah Hartenstein,20,HOU,PF,2,6,.333,18,35,.514,,,,
Tobias Harris,26,2TM,PF,156,393,.397,455,861,.528,,,,
Montrezl Harrell,25,LAC,C,3,17,.176,543,871,.623,,,,
Blake Griffin,29,DET,PF,189,522,.362,430,819,.525,,,,
Jeff Green,32,WAS,PF,111,320,.347,215,367,.586,,,,
JaMychal Green,28,2TM,PF,71,176,.403,159,300,.530,,,,
Draymond Green,28,GSW,PF,47,165,.285,141,257,.549,,,,
Jerami Grant,24,OKC,PF,115,293,.392,294,530,.555,,,,
Marcin Gortat,34,LAC,C,0,0,,99,186,.532,,,,
Aaron Gordon,23,ORL,PF,121,347,.349,349,699,.499,,,,
Rudy Gobert,26,UTA,C,0,0,,476,712,.669,,,,
Harry Giles,20,SAC,PF,0,6,.000,175,342,.512,,,,
Taj Gibson,33,MIN,PF,11,34,.324,293,503,.583,,,,
Rudy Gay,32,SAS,PF,74,184,.402,302,562,.537,,,,
Pau Gasol,38,2TM,C,6,13,.462,36,81,.444,,,,
Marc Gasol,34,2TM,C,99,273,.363,291,597,.487,,,,
Channing Frye,35,CLE,C,32,79,.405,11,38,.289,,,,
Enes Freedom,26,2TM,C,10,34,.294,365,649,.562,,,,
Cristiano Felício,26,CHI,C,0,4,.000,95,175,.543,,,,
Derrick Favors,27,UTA,C,17,78,.218,346,541,.640,,,,
Kenneth Faried,29,2TM,C,8,25,.320,148,240,.617,,,,
Drew Eubanks,21,SAS,PF,0,0,,15,26,.577,,,,
Joel Embiid,24,PHI,C,79,263,.300,501,936,.535,,,,
Henry Ellenson,22,2TM,PF,17,38,.447,22,57,.386,,,,
Jared Dudley,33,BKN,PF,53,151,.351,48,88,.545,,,,
Andre Drummond,25,DET,C,5,38,.132,556,1014,.548,,,,
Gorgui Dieng,29,MIN,C,19,56,.339,170,321,.530,,,,
Cheick Diallo,22,NOP,PF,1,4,.250,167,267,.625,,,,
Marcus Derrickson,22,GSW,PF,10,20,.500,6,13,.462,,,,
Ángel Delgado,24,LAC,C,0,0,,1,5,.200,,,,
Sam Dekker,24,2TM,PF,19,62,.306,101,194,.521,,,,
Dewayne Dedmon,29,ATL,C,83,217,.382,176,309,.570,,,,
Tyler Davis,21,OKC,C,0,0,,0,1,.000,,,,
Ed Davis,29,BKN,C,0,2,.000,186,300,.620,,,,
Deyonta Davis,22,ATL,C,0,1,.000,15,21,.714,,,,
Anthony Davis,25,NOP,C,48,145,.331,482,881,.547,,,,
Dante Cunningham,31,SAS,PF,30,65,.462,45,93,.484,,,,
DeMarcus Cousins,28,GSW,C,26,95,.274,152,276,.551,,,,
Zach Collins,21,POR,C,40,121,.331,149,279,.534,,,,
John Collins,21,ATL,PF,55,158,.348,410,673,.609,,,,
Gary Clark,24,HOU,PF,41,138,.297,9,13,.692,,,,
Marquese Chriss,21,2TM,PF,16,72,.222,51,108,.472,,,,
Tyson Chandler,36,2TM,C,0,1,.000,61,98,.622,,,,
Tyler Cavanaugh,24,UTA,PF,1,5,.200,2,5,.400,,,,
Willie Cauley-Stein,25,SAC,C,1,2,.500,411,739,.556,,,,
Wendell Carter Jr.,19,CHI,C,6,32,.188,174,339,.513,,,,
Vince Carter,42,ATL,PF,123,316,.389,73,152,.480,,,,
DeMarre Carroll,32,BKN,PF,106,310,.342,121,265,.457,,,,
Clint Capela,24,HOU,C,0,0,,474,732,.648,,,,
Bruno Caboclo,23,MEM,PF,48,130,.369,48,95,.505,,,,
Thomas Bryant,21,WAS,C,33,99,.333,276,403,.685,,,,
Tony Bradley,21,UTA,C,0,0,,8,16,.500,,,,
Chris Boucher,26,TOR,PF,12,37,.324,22,39,.564,,,,
Jonah Bolden,23,PHI,PF,34,96,.354,46,66,.697,,,,
Andrew Bogut,34,GSW,C,0,0,,18,36,.500,,,,
Nemanja Bjelica,30,SAC,PF,103,257,.401,181,336,.539,,,,
Bismack Biyombo,26,CHA,C,0,0,,89,156,.571,,,,
Khem Birch,26,ORL,C,0,1,.000,91,150,.607,,,,
Dāvis Bertāns,26,SAS,PF,145,338,.429,59,115,.513,,,,
Dragan Bender,21,PHX,PF,22,101,.218,66,96,.688,,,,
Jordan Bell,24,GSW,C,0,2,.000,99,190,.521,,,,
Michael Beasley,30,LAL,PF,3,17,.176,72,136,.529,,,,
Aron Baynes,32,BOS,C,21,61,.344,84,162,.519,,,,
Harrison Barnes,26,2TM,PF,174,441,.395,257,586,.439,,,,
Mo Bamba,20,ORL,C,21,70,.300,96,173,.555,,,,
Marvin Bagley III,19,SAC,PF,30,96,.313,326,610,.534,,,,
Deandre Ayton,20,PHX,C,0,4,.000,509,866,.588,,,,
Carmelo Anthony,34,HOU,PF,21,64,.328,28,57,.491,,,,
Kostas Antetokounmpo,21,DAL,PF,0,0,,0,3,.000,,,,
Giannis Antetokounmpo,24,MIL,PF,52,203,.256,669,1044,.641,,,,
Ike Anigbogu,20,IND,C,0,0,,0,3,.000,,,,
Ryan Anderson,30,2TM,PF,9,40,.225,12,29,.414,,,,
Al-Farouq Aminu,28,POR,PF,96,280,.343,161,313,.514,,,,
Jarrett Allen,20,BKN,C,6,45,.133,329,523,.629,,,,
LaMarcus Aldridge,33,SAS,C,10,42,.238,674,1277,.528,,,,
Bam Adebayo,21,MIA,C,3,15,.200,277,471,.588,,,,
Steven Adams,25,OKC,C,0,2,.000,481,807,.596,,,,
Quincy Acy,28,PHX,PF,2,15,.133,2,3,.667,,,,
