Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Mason Plumlee,24,BKN,C,0,3,.000,280,486,.576,,,,
Gorgui Dieng,25,MIN,C,1,6,.167,258,506,.510,,,,
Boris Diaw,32,SAS,PF,54,169,.320,237,463,.512,,,,
Amir Johnson,27,TOR,PF,19,46,.413,279,473,.590,,,,
Tristan Thompson,23,CLE,PF,0,0,,267,488,.547,,,,
Rudy Gobert,22,UTA,C,0,2,.000,258,425,.607,,,,
Amar'e Stoudemire,32,2TM,PF,0,4,.000,273,486,.562,,,,
Ersan İlyasova,27,MIL,PF,74,190,.389,189,367,.515,,,,
Luc Mbah a Moute,28,PHI,PF,62,202,.307,189,434,.435,,,,
Ed Davis,25,LAL,PF,0,0,,282,469,.601,,,,
Kelly Olynyk,23,BOS,C,61,175,.349,190,353,.538,,,,
Jason Smith,28,NYK,C,15,42,.357,242,550,.440,,,,
Patrick Patterson,25,TOR,PF,105,283,.371,135,252,.536,,,,
Dwight Howard,29,HOU,C,1,2,.500,250,421,.594,,,,
Taj Gibson,29,CHI,PF,0,0,,254,506,.502,,,,
Chris Kaman,32,POR,C,0,0,,283,549,.515,,,,
Derrick Williams,23,SAC,PF,49,156,.314,168,329,.511,,,,
Zaza Pachulia,30,MIL,C,0,3,.000,240,526,.456,,,,
Henry Sims,24,PHI,C,4,22,.182,234,480,.488,,,,
Marvin Williams,28,CHA,PF,95,265,.358,115,230,.500,,,,
Trevor Booker,27,UTA,PF,29,84,.345,197,380,.518,,,,
Robin Lopez,26,POR,C,0,1,.000,234,436,.537,,,,
Hassan Whiteside,25,MIA,C,0,0,,243,387,.628,,,,
Ömer Aşık,28,NOP,C,0,0,,213,412,.517,,,,
James Johnson,27,TOR,PF,11,51,.216,227,353,.643,,,,
J.J. Hickson,26,DEN,C,0,2,.000,218,457,.477,,,,
Channing Frye,31,ORL,PF,136,346,.393,55,141,.390,,,,
Brandan Wright,27,3TM,PF,0,3,.000,233,360,.647,,,,
Steven Adams,21,OKC,C,0,2,.000,217,397,.547,,,,
Mike Scott,26,ATL,PF,66,192,.344,135,261,.517,,,,
Kevin Séraphin,25,WAS,C,0,2,.000,231,448,.516,,,,
Kris Humphries,29,WAS,PF,0,7,.000,211,439,.481,,,,
Carl Landry,31,SAC,PF,0,0,,190,369,.515,,,,
Jason Thompson,28,SAC,PF,0,1,.000,201,427,.471,,,,
Joakim Noah,29,CHI,C,0,2,.000,190,425,.447,,,,
Anthony Tolliver,29,2TM,PF,106,290,.366,55,103,.534,,,,
Cody Zeller,22,CHA,C,1,1,1.000,171,372,.460,,,,
John Henson,24,MIL,C,0,0,,196,346,.566,,,,
Aron Baynes,28,SAS,C,1,4,.250,184,323,.570,,,,
Jonas Jerebko,27,2TM,PF,54,140,.386,115,239,.481,,,,
Alexis Ajinça,26,NOP,C,0,0,,181,329,.550,,,,
Lance Thomas,26,2TM,PF,7,22,.318,175,420,.417,,,,
Alex Len,21,PHX,C,1,3,.333,178,350,.509,,,,
Andrea Bargnani,29,NYK,C,15,41,.366,149,320,.466,,,,
Tiago Splitter,30,SAS,C,0,0,,169,303,.558,,,,
Jusuf Nurkić,20,DEN,C,0,2,.000,171,381,.449,,,,
Spencer Hawes,26,LAC,PF,55,176,.313,108,239,.452,,,,
Andrew Bogut,30,GSW,C,0,0,,200,355,.563,,,,
Kosta Koufos,25,MEM,C,0,0,,182,358,.508,,,,
Charlie Villanueva,30,DAL,PF,83,221,.376,67,141,.475,,,,
Quincy Acy,24,NYK,PF,18,60,.300,134,271,.494,,,,
David Lee,31,GSW,PF,0,2,.000,160,311,.514,,,,
Terrence Jones,23,HOU,PF,13,37,.351,145,262,.553,,,,
Nikola Peković,29,MIN,C,0,0,,139,328,.424,,,,
Darrell Arthur,26,DEN,PF,26,110,.236,129,274,.471,,,,
Tarik Black,23,2TM,C,0,1,.000,157,272,.577,,,,
Pero Antić,32,ATL,C,52,173,.301,56,123,.455,,,,
Dante Cunningham,27,NOP,PF,1,10,.100,154,329,.468,,,,
Mirza Teletović,29,BKN,PF,62,193,.321,60,126,.476,,,,
Cole Aldrich,26,NYK,C,0,0,,144,301,.478,,,,
Ryan Kelly,23,LAL,PF,45,134,.336,59,175,.337,,,,
Meyers Leonard,22,POR,C,47,112,.420,78,133,.586,,,,
Kevin Garnett,38,2TM,PF,1,7,.143,142,299,.475,,,,
Chris Andersen,36,MIA,C,4,13,.308,116,194,.598,,,,
Lavoy Allen,25,IND,C,0,0,,141,299,.472,,,,
Jabari Parker,19,MIL,PF,4,16,.250,125,247,.506,,,,
Thomas Robinson,23,2TM,PF,0,2,.000,126,258,.488,,,,
Robert Sacre,25,LAL,C,0,1,.000,126,305,.413,,,,
Bismack Biyombo,22,CHA,C,0,0,,101,186,.543,,,,
Anthony Bennett,21,MIN,PF,7,23,.304,118,274,.431,,,,
Glen Davis,29,LAC,PF,0,4,.000,117,251,.466,,,,
Kyle O'Quinn,24,ORL,PF,12,43,.279,107,199,.538,,,,
Miles Plumlee,26,2TM,C,0,0,,136,254,.535,,,,
Jon Leuer,25,MEM,PF,7,29,.241,114,244,.467,,,,
Drew Gooden,33,WAS,PF,23,59,.390,87,217,.401,,,,
Nick Collison,34,OKC,PF,16,60,.267,90,193,.466,,,,
Tyler Hansbrough,29,TOR,PF,1,7,.143,85,158,.538,,,,
Ian Mahinmi,28,IND,C,0,0,,117,212,.552,,,,
Matt Bonner,34,SAS,PF,46,126,.365,48,104,.462,,,,
Udonis Haslem,34,MIA,PF,2,10,.200,105,229,.459,,,,
Lou Amundson,32,2TM,PF,0,1,.000,109,254,.429,,,,
Anderson Varejão,32,CLE,C,0,2,.000,111,198,.561,,,,
Kendrick Perkins,30,2TM,C,0,1,.000,102,226,.451,,,,
Aaron Gordon,19,ORL,PF,13,48,.271,80,160,.500,,,,
Justin Hamilton,24,2TM,C,10,31,.323,75,147,.510,,,,
Dewayne Dedmon,25,ORL,C,0,1,.000,91,161,.565,,,,
Adreian Payne,23,2TM,PF,1,9,.111,90,211,.427,,,,
Michael Beasley,26,MIA,PF,8,34,.235,84,178,.472,,,,
Jason Maxiell,31,CHA,PF,0,0,,81,192,.422,,,,
Festus Ezeli,25,GSW,C,0,0,,76,139,.547,,,,
Mitch McGary,22,OKC,PF,0,2,.000,88,163,.540,,,,
Mike Muscala,23,ATL,PF,9,22,.409,74,129,.574,,,,
Larry Sanders,26,MIL,C,0,0,,86,172,.500,,,,
Andrew Nicholson,25,ORL,PF,13,41,.317,70,149,.470,,,,
Joey Dorsey,31,HOU,PF,0,1,.000,80,144,.556,,,,
Cory Jefferson,24,BKN,PF,2,15,.133,73,152,.480,,,,
Reggie Evans,34,SAC,PF,0,2,.000,58,135,.430,,,,
Joel Freeland,27,POR,C,0,0,,74,151,.490,,,,
Brandon Davies,23,2TM,PF,8,34,.235,47,103,.456,,,,
Jerome Jordan,28,BKN,C,0,0,,50,94,.532,,,,
Jeff Ayres,27,SAS,PF,0,0,,55,95,.579,,,,
Ryan Hollins,30,SAC,C,0,0,,53,82,.646,,,,
Samuel Dalembert,33,NYK,C,0,0,,57,130,.438,,,,
JaVale McGee,27,2TM,C,0,0,,42,79,.532,,,,
Johnny O'Bryant,21,MIL,PF,0,0,,44,120,.367,,,,
Jeff Withey,24,NOP,C,0,0,,32,64,.500,,,,
Elton Brand,35,ATL,C,0,1,.000,42,94,.447,,,,
Furkan Aldemir,23,PHI,PF,0,5,.000,40,73,.548,,,,
Joffrey Lauvergne,23,DEN,C,3,16,.188,33,73,.452,,,,
Dwight Powell,23,2TM,PF,3,11,.273,28,56,.500,,,,
Joel Anthony,32,DET,C,0,0,,36,62,.581,,,,
Noah Vonleh,19,CHA,PF,5,13,.385,25,63,.397,,,,
Greg Smith,24,DAL,PF,0,0,,30,49,.612,,,,
Josh McRoberts,27,MIA,PF,8,19,.421,20,34,.588,,,,
Steve Novak,31,2TM,PF,19,48,.396,3,8,.375,,,,
James Michael McAdoo,22,GSW,PF,0,0,,24,44,.545,,,,
JaMychal Green,24,2TM,PF,0,6,.000,27,41,.659,,,,
Jeff Adrien,28,MIN,PF,0,0,,19,44,.432,,,,
Jarnell Stokes,21,MEM,PF,0,0,,21,37,.568,,,,
Shayne Whittington,23,IND,PF,1,6,.167,18,36,.500,,,,
DeJuan Blair,25,WAS,PF,0,0,,26,57,.456,,,,
Chuck Hayes,31,TOR,C,0,0,,22,46,.478,,,,
Malcolm Thomas,26,PHI,PF,0,7,.000,18,33,.545,,,,
Bernard James,29,DAL,C,0,0,,12,27,.444,,,,
Brendan Haywood,35,CLE,C,0,0,,14,30,.467,,,,
Earl Barron,33,PHX,C,2,4,.500,10,35,.286,,,,
Clint Capela,20,HOU,C,0,0,,14,29,.483,,,,
Ekpe Udoh,27,LAC,PF,0,0,,11,24,.458,,,,
Quincy Miller,22,2TM,PF,3,18,.167,6,20,.300,,,,
Earl Clark,27,BKN,PF,4,14,.286,7,16,.438,,,,
Jack Cooley,23,UTA,C,0,0,,9,22,.409,,,,
Nazr Mohammed,37,CHI,C,0,0,,13,30,.433,,,,
Arinze Onuaku,27,MIN,C,0,0,,12,14,.857,,,,
Shavlik Randolph,31,2TM,PF,0,5,.000,9,30,.300,,,,
Ognjen Kuzmić,24,GSW,C,0,0,,8,12,.667,,,,
Kenyon Martin,37,MIL,PF,0,0,,9,22,.409,,,,
Drew Gordon,24,PHI,PF,0,3,.000,8,16,.500,,,,
Grant Jerrett,21,2TM,PF,1,15,.067,6,11,.545,,,,
Greg Stiemsma,29,TOR,C,0,0,,6,8,.750,,,,
Cameron Bairstow,24,CHI,PF,0,0,,3,14,.214,,,,
Miroslav Raduljica,27,MIN,C,0,0,,3,8,.375,,,,
Lucas Nogueira,22,TOR,C,0,0,,2,8,.250,,,,
Alex Kirk,23,CLE,C,0,0,,1,4,.250,,,,
Tyrus Thomas,28,MEM,PF,0,0,,1,1,1.000,,,,
Sim Bhullar,22,SAC,C,0,0,,1,2,.500,,,,
Eric Moreland,23,SAC,PF,0,0,,1,1,1.000,,,,
Julius Randle,20,LAL,PF,0,0,,1,3,.333,,,,
Jerrelle Benimon,23,UTA,PF,0,0,,0,0,,,,,
Ronny Turiaf,32,MIN,C,0,0,,0,0,,,,,
David Wear,24,SAC,PF,0,1,.000,0,1,.000,,,,
