Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
LaMarcus Aldridge,29,POR,PF,37,105,.352,622,1310,.475,,,,
Anthony Davis,21,NOP,PF,1,12,.083,641,1187,.540,,,,
Blake Griffin,25,LAC,PF,10,25,.400,564,1119,.504,,,,
Pau Gasol,34,CHI,PF,12,26,.462,558,1127,.495,,,,
Nikola Vučević,24,ORL,C,2,6,.333,629,1200,.524,,,,
DeMarcus Cousins,24,SAC,C,2,8,.250,496,1058,.469,,,,
Marc Gasol,30,MEM,C,3,17,.176,527,1055,.500,,,,
Dirk Nowitzki,36,DAL,PF,104,274,.380,383,788,.486,,,,
Markieff Morris,25,PHX,PF,57,179,.318,455,921,.494,,,,
Brook Lopez,26,BKN,C,1,10,.100,505,977,.517,,,,
Kevin Love,26,CLE,PF,144,392,.367,269,560,.480,,,,
Paul Millsap,29,ATL,PF,77,216,.356,366,714,.513,,,,
Derrick Favors,23,UTA,PF,1,6,.167,481,912,.527,,,,
Enes Freedom,22,2TM,C,16,45,.356,466,883,.528,,,,
Al Horford,28,ATL,C,11,36,.306,508,929,.547,,,,
Zach Randolph,33,MEM,PF,7,20,.350,447,912,.490,,,,
Andre Drummond,21,DET,C,0,2,.000,494,959,.515,,,,
Greg Monroe,24,DET,PF,0,0,,423,853,.496,,,,
Al Jefferson,30,CHA,C,2,5,.400,484,1005,.482,,,,
Thaddeus Young,26,2TM,PF,38,115,.330,413,853,.484,,,,
Tim Duncan,38,SAS,C,2,7,.286,417,812,.514,,,,
Josh Smith,29,2TM,PF,72,228,.316,342,759,.451,,,,
Marcin Gortat,30,WAS,C,0,3,.000,439,772,.569,,,,
Jonas Valančiūnas,22,TOR,C,0,1,.000,373,651,.573,,,,
Kenneth Faried,25,DEN,PF,1,8,.125,372,728,.511,,,,
DeAndre Jordan,26,LAC,C,1,4,.250,378,530,.713,,,,
Chris Bosh,30,MIA,C,63,168,.375,280,577,.485,,,,
Draymond Green,24,GSW,PF,111,329,.337,228,436,.523,,,,
Serge Ibaka,25,OKC,PF,77,205,.376,297,581,.511,,,,
Brandon Bass,29,BOS,PF,9,32,.281,335,651,.515,,,,
Donatas Motiejūnas,24,HOU,PF,49,133,.368,304,567,.536,,,,
Marcus Morris,25,PHX,PF,112,313,.358,219,450,.487,,,,
Jordan Hill,27,LAL,C,3,11,.273,354,766,.462,,,,
Carlos Boozer,33,LAL,PF,0,0,,371,743,.499,,,,
Ryan Anderson,26,NOP,PF,122,359,.340,169,370,.457,,,,
Nikola Mirotić,23,CHI,PF,99,313,.316,154,311,.495,,,,
Tyler Zeller,25,BOS,C,0,0,,340,619,.549,,,,
Roy Hibbert,28,IND,C,0,2,.000,317,708,.448,,,,
Marreese Speights,27,GSW,C,5,18,.278,313,628,.498,,,,
Timofey Mozgov,28,2TM,C,2,6,.333,312,560,.557,,,,
Tyson Chandler,32,DAL,C,0,0,,293,440,.666,,,,
Jared Sullinger,22,BOS,PF,52,184,.283,259,524,.494,,,,
David West,34,IND,PF,4,20,.200,319,666,.479,,,,
Luis Scola,34,IND,PF,5,20,.250,295,622,.474,,,,
Nerlens Noel,20,PHI,C,0,0,,302,653,.462,,,,
Nenê,32,WAS,PF,1,5,.200,306,596,.513,,,,
