Year,TeamAbv,TeamName,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2002,SAC,Sacramento Kings,2.200,10.000,0.159,250.600,529.600,0.470,11.000,50.000,1253.000,2648.000
2002,SAS,San Antonio Spurs,1.800,6.400,0.252,263.600,536.800,0.428,9.000,32.000,1318.000,2684.000
2002,TOR,Toronto Raptors,0.300,1.800,0.146,99.700,217.500,0.442,3.000,18.000,997.000,2175.000
2002,UTA,Utah Jazz,8.000,24.667,0.184,177.500,387.667,0.437,48.000,148.000,1065.000,2326.000
2002,WAS,Washington Wizards,0.286,2.857,0.042,108.571,224.714,0.454,2.000,20.000,760.000,1573.000
2004,ATL,Atlanta Hawks,4.429,12.571,0.195,73.571,162.857,0.497,31.000,88.000,515.000,1140.000
2004,BKN,Brooklyn Nets,5.000,15.600,0.289,127.600,285.000,0.549,25.000,78.000,638.000,1425.000
2004,BOS,Boston Celtics,20.500,57.250,0.121,209.250,391.250,0.523,82.000,229.000,837.000,1565.000
2004,CHA,Charlotte Hornets,0.000,0.200,0.000,220.800,475.400,0.459,0.000,1.000,1104.000,2377.000
2004,CHI,Chicago Bulls,0.000,0.333,0.000,170.500,337.667,0.473,0.000,2.000,1023.000,2026.000
2004,CLE,Cleveland Cavaliers,1.167,8.000,0.077,203.833,429.333,0.423,7.000,48.000,1223.000,2576.000
2004,DAL,Dallas Mavericks,15.167,38.833,0.133,163.333,333.167,0.488,91.000,233.000,980.000,1999.000
2004,DEN,Denver Nuggets,0.200,4.200,0.083,203.800,418.800,0.454,1.000,21.000,1019.000,2094.000
2004,DET,Detroit Pistons,15.200,49.600,0.107,204.200,430.600,0.405,76.000,248.000,1021.000,2153.000
2004,GSW,Golden State Warriors,19.667,49.667,0.200,178.000,395.667,0.501,59.000,149.000,534.000,1187.000
2004,HOU,Houston Rockets,8.333,21.167,0.199,164.667,326.667,0.465,50.000,127.000,988.000,1960.000
2004,IND,Indiana Pacers,6.571,26.571,0.107,129.286,272.571,0.456,46.000,186.000,905.000,1908.000
2004,LAC,Los Angeles Clippers,0.167,1.667,0.050,221.333,434.333,0.502,1.000,10.000,1328.000,2606.000
2004,LAL,Los Angeles Lakers,19.000,53.167,0.175,149.167,304.167,0.470,114.000,319.000,895.000,1825.000
2004,MEM,Memphis Grizzlies,9.000,27.600,0.130,208.600,444.800,0.464,45.000,138.000,1043.000,2224.000
2004,MIA,Miami Heat,0.600,3.200,0.203,254.600,454.200,0.530,3.000,16.000,1273.000,2271.000
2004,MIL,Milwaukee Bucks,0.000,1.333,0.000,145.500,293.833,0.442,0.000,8.000,873.000,1763.000
2004,MIN,Minnesota Timberwolves,12.333,38.333,0.523,179.333,368.500,0.483,74.000,230.000,1076.000,2211.000
2004,NOP,New Orleans Pelicans,11.286,33.143,0.210,106.286,235.429,0.392,79.000,232.000,744.000,1648.000
2004,NYK,New York Knicks,0.750,2.000,0.278,168.250,345.000,0.574,3.000,8.000,673.000,1380.000
2004,OKC,Oklahoma City Thunder,18.286,48.143,0.078,114.429,229.714,0.495,128.000,337.000,801.000,1608.000
2004,ORL,Orlando Magic,7.000,22.286,0.083,119.571,236.857,0.490,49.000,156.000,837.000,1658.000
2004,PHI,Philadelphia 76ers,10.500,32.750,0.220,163.250,337.250,0.464,42.000,131.000,653.000,1349.000
2004,PHX,Phoenix Suns,19.500,59.667,0.174,237.000,431.833,0.495,117.000,358.000,1422.000,2591.000
2004,POR,Portland Trail Blazers,3.000,9.000,0.193,195.600,395.800,0.488,15.000,45.000,978.000,1979.000
2004,SAC,Sacramento Kings,1.667,8.000,0.088,202.667,385.667,0.504,5.000,24.000,608.000,1157.000
2004,SAS,San Antonio Spurs,10.800,30.000,0.234,183.800,391.800,0.433,54.000,150.000,919.000,1959.000
2004,TOR,Toronto Raptors,32.333,78.167,0.295,159.667,331.333,0.464,194.000,469.000,958.000,1988.000
