Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Dirk Nowitzki,28,DAL,PF,72,173,.416,601,1168,.515,,,,
Kevin Garnett,30,MIN,PF,12,56,.214,626,1285,.487,,,,
Amar'e Stoudemire,24,PHX,C,0,3,.000,607,1052,.577,,,,
Elton Brand,27,LAC,PF,1,1,1.000,644,1210,.532,,,,
Zach Randolph,25,POR,PF,14,48,.292,586,1238,.473,,,,
Tim Duncan,30,SAS,C,1,9,.111,617,1122,.550,,,,
Eddy Curry,24,NYK,C,1,1,1.000,584,1015,.575,,,,
Chris Bosh,22,TOR,C,12,35,.343,531,1059,.501,,,,
Carlos Boozer,25,UTA,PF,0,0,,647,1154,.561,,,,
Dwight Howard,21,ORL,C,1,2,.500,525,871,.603,,,,
Mehmet Okur,27,UTA,C,129,336,.384,361,725,.498,,,,
Antawn Jamison,30,WAS,PF,138,379,.364,374,760,.492,,,,
Jermaine O'Neal,28,IND,C,0,7,.000,498,1134,.439,,,,
Al Harrington,26,2TM,PF,127,293,.433,368,790,.466,,,,
Pau Gasol,26,MEM,C,3,11,.273,459,847,.542,,,,
Yao Ming,26,HOU,C,0,2,.000,423,817,.518,,,,
Al Jefferson,22,BOS,C,0,1,.000,453,881,.514,,,,
Chris Wilcox,24,OKC,PF,0,6,.000,433,813,.533,,,,
Mike Dunleavy,26,GSW,PF,36,104,.346,130,266,.489,,,,
Hakim Warrick,24,MEM,PF,0,8,.000,373,704,.530,,,,
Mark Blount,31,MIN,C,9,31,.290,418,808,.517,,,,
Emeka Okafor,24,CHA,C,0,0,,394,740,.532,,,,
David West,26,NOP,PF,8,25,.320,369,767,.481,,,,
Rasheed Wallace,32,DET,C,104,296,.351,253,547,.463,,,,
Zydrunas Ilgauskas,31,CLE,C,0,1,.000,385,792,.486,,,,
Adam Morrison,22,CHA,PF,87,258,.337,268,686,.391,,,,
Lamar Odom,27,LAL,PF,54,182,.297,265,499,.531,,,,
Drew Gooden,25,CLE,PF,1,6,.167,370,778,.476,,,,
Ryan Gomes,24,BOS,PF,16,42,.381,322,681,.473,,,,
