Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Karl Malone,27,UTA,PF,4,14,.286,843,1594,.529,,,,
Patrick Ewing,28,NYK,C,0,6,.000,845,1639,.516,,,,
David Robinson,25,SAS,C,1,7,.143,753,1359,.554,,,,
Brad Daugherty,25,CLE,C,0,3,.000,605,1152,.525,,,,
Antoine Carr,29,SAC,PF,0,3,.000,628,1225,.513,,,,
Larry Nance,31,CLE,PF,2,8,.250,633,1203,.526,,,,
Tom Chambers,31,PHX,PF,20,73,.274,536,1198,.447,,,,
Otis Thorpe,28,HOU,PF,3,7,.429,546,981,.557,,,,
Harvey Grant,25,WAS,PF,2,15,.133,607,1209,.502,,,,
Derrick Coleman,23,BKN,PF,13,38,.342,501,1062,.472,,,,
Detlef Schrempf,28,IND,PF,15,40,.375,417,791,.527,,,,
Kevin Duckworth,26,POR,C,0,2,.000,521,1082,.482,,,,
Kevin McHale,33,BOS,PF,15,37,.405,489,875,.559,,,,
Armen Gilliam,26,2TM,PF,0,2,.000,487,999,.487,,,,
Shawn Kemp,21,OKC,PF,2,12,.167,460,897,.513,,,,
Robert Parish,37,BOS,C,0,1,.000,485,810,.599,,,,
Sam Mitchell,27,MIN,PF,0,9,.000,445,1001,.445,,,,
Hakeem Olajuwon,28,HOU,C,0,4,.000,487,955,.510,,,,
Terry Cummings,29,SAS,PF,7,33,.212,496,1006,.493,,,,
Danny Manning,24,LAC,PF,0,3,.000,470,902,.521,,,,
Kevin Willis,28,ATL,PF,4,10,.400,440,871,.505,,,,
Rony Seikaly,25,MIA,C,2,6,.333,393,816,.482,,,,
Thurl Bailey,29,UTA,PF,0,3,.000,399,869,.459,,,,
Horace Grant,25,CHI,PF,1,6,.167,400,727,.550,,,,
Sam Perkins,29,LAL,PF,18,64,.281,350,680,.515,,,,
James Edwards,35,DET,C,1,2,.500,382,790,.484,,,,
Benoit Benjamin,26,2TM,C,0,0,,386,778,.496,,,,
Clifford Robinson,24,POR,PF,6,19,.316,367,787,.466,,,,
Frank Brickowski,31,MIL,PF,0,2,.000,372,704,.528,,,,
Buck Williams,30,POR,PF,0,0,,358,595,.602,,,,
Vlade Divac,22,LAL,C,5,14,.357,355,623,.570,,,,
Bill Laimbeer,33,DET,C,37,125,.296,335,653,.513,,,,
J.R. Reid,22,CHA,C,0,2,.000,360,771,.467,,,,
Fred Roberts,30,MIL,PF,4,25,.160,353,645,.547,,,,
Blair Rasmussen,28,DEN,C,2,5,.400,403,880,.458,,,,
Danny Schayes,31,MIL,C,0,5,.000,298,592,.503,,,,
Moses Malone,35,ATL,C,0,7,.000,280,591,.474,,,,
Charles Oakley,27,NYK,PF,0,2,.000,307,593,.518,,,,
Rodney McCray,29,DAL,PF,13,39,.333,323,640,.505,,,,
Mike Gminski,31,2TM,C,2,14,.143,355,794,.447,,,,
Rik Smits,24,IND,C,0,0,,342,705,.485,,,,
James Donaldson,33,DAL,C,0,0,,327,615,.532,,,,
Jack Sikma,35,MIL,C,46,135,.341,249,556,.448,,,,
Sam Bowie,29,BKN,C,4,22,.182,310,701,.442,,,,
Pervis Ellison,23,WAS,C,0,6,.000,326,630,.517,,,,
Olden Polynice,26,2TM,C,0,1,.000,316,563,.561,,,,
Bill Cartwright,33,CHI,C,0,0,,318,649,.490,,,,
A.C. Green,27,LAL,PF,11,55,.200,247,487,.507,,,,
Herb Williams,32,DAL,C,0,4,.000,332,651,.510,,,,
Terry Catledge,27,ORL,PF,0,5,.000,292,627,.466,,,,
Grant Long,24,MIA,PF,1,6,.167,275,555,.495,,,,
Rick Mahorn,32,PHI,C,0,9,.000,261,550,.475,,,,
Danny Ferry,24,CLE,PF,23,77,.299,252,566,.445,,,,
Randy White,23,DAL,PF,6,37,.162,259,628,.412,,,,
Wayman Tisdale,26,SAC,PF,0,1,.000,262,541,.484,,,,
Kenny Gattison,26,CHA,PF,0,2,.000,243,455,.534,,,,
Mark West,30,PHX,C,0,0,,247,382,.647,,,,
LaSalle Thompson,29,IND,C,1,5,.200,275,560,.491,,,,
Jeff Turner,28,ORL,PF,6,15,.400,253,517,.489,,,,
Felton Spencer,23,MIN,C,0,1,.000,195,380,.513,,,,
John Salley,26,DET,PF,0,1,.000,179,376,.476,,,,
Joe Wolf,26,DEN,C,2,15,.133,232,504,.460,,,,
Duane Causwell,22,SAC,C,0,0,,210,413,.508,,,,
Michael Cage,29,OKC,C,0,3,.000,226,442,.511,,,,
Hot Rod Williams,28,CLE,C,0,1,.000,199,429,.464,,,,
Tom Tolbert,25,GSW,PF,7,21,.333,176,412,.427,,,,
Alton Lister,32,GSW,C,0,1,.000,188,392,.480,,,,
Alec Kessler,24,MIA,C,0,4,.000,199,464,.429,,,,
Jerome Lane,24,DEN,PF,1,4,.250,201,457,.440,,,,
Sidney Green,30,SAS,PF,0,3,.000,177,381,.465,,,,
Bill Wennington,27,SAC,C,1,5,.200,180,410,.439,,,,
Chris Dudley,25,BKN,C,0,0,,170,417,.408,,,,
Jack Haley,27,BKN,PF,0,0,,161,343,.469,,,,
Randy Breuer,30,MIN,C,0,0,,197,435,.453,,,,
Brad Lohaus,26,MIL,PF,33,119,.277,146,296,.493,,,,
Derrick Gervin,27,BKN,PF,7,28,.250,157,366,.429,,,,
Stacey King,24,CHI,PF,0,2,.000,156,332,.470,,,,
Mark Eaton,34,UTA,C,0,0,,169,292,.579,,,,
Loy Vaught,22,LAC,PF,0,2,.000,175,357,.490,,,,
Greg Kite,29,ORL,C,0,0,,166,338,.491,,,,
Mike Brown,27,UTA,C,0,0,,129,284,.454,,,,
Tyrone Hill,22,GSW,PF,0,0,,147,299,.492,,,,
Tom Hammonds,23,WAS,PF,0,4,.000,155,332,.467,,,,
Ed Pinckney,27,BOS,PF,0,1,.000,131,242,.541,,,,
Eric Leckner,24,2TM,C,0,0,,131,294,.446,,,,
Terry Mills,23,2TM,PF,0,4,.000,134,284,.472,,,,
Cliff Levingston,30,CHI,PF,1,4,.250,126,278,.453,,,,
Jon Koncak,27,ATL,C,1,8,.125,139,313,.444,,,,
Andrew Lang,24,PHX,C,0,1,.000,109,188,.580,,,,
Anthony Cook,23,DEN,PF,0,3,.000,118,280,.421,,,,
Will Perdue,25,CHI,C,0,3,.000,116,232,.500,,,,
Terry Davis,23,MIA,PF,1,2,.500,114,234,.487,,,,
Henry James,25,CLE,PF,24,60,.400,88,194,.454,,,,
Greg Anderson,26,3TM,PF,0,1,.000,116,269,.431,,,,
Mychal Thompson,36,LAL,C,0,2,.000,113,226,.500,,,,
Mark Acres,28,ORL,C,1,3,.333,108,211,.512,,,,
Jim Petersen,28,GSW,C,1,4,.250,113,232,.487,,,,
Eddie Lee Wilkins,28,NYK,C,0,1,.000,114,254,.449,,,,
William Bedford,27,DET,C,5,13,.385,101,229,.441,,,,
Mark Bryant,25,POR,PF,0,1,.000,99,202,.490,,,,
Jerrod Mustaf,21,NYK,PF,0,1,.000,106,227,.467,,,,
Larry Smith,33,HOU,PF,0,0,,128,263,.487,,,,
Greg Dreiling,28,IND,C,0,2,.000,98,192,.510,,,,
Joe Kleine,29,BOS,C,0,2,.000,102,216,.472,,,,
Tim McCormick,28,ATL,C,0,3,.000,93,184,.505,,,,
Tod Murphy,27,MIN,PF,1,17,.059,89,210,.424,,,,
Anthony Bonner,22,SAC,PF,0,0,,103,230,.448,,,,
Mark Alarie,27,WAS,PF,5,21,.238,94,204,.461,,,,
Dave Greenwood,33,SAS,PF,0,2,.000,85,167,.509,,,,
Greg Foster,22,WAS,PF,0,5,.000,97,206,.471,,,,
Kurt Rambis,32,PHX,PF,0,2,.000,83,165,.503,,,,
Kenny Williams,21,IND,PF,0,3,.000,93,176,.528,,,,
Michael Smith,25,BOS,PF,6,24,.250,89,176,.506,,,,
Tim Perry,25,PHX,C,0,5,.000,75,139,.540,,,,
Jayson Williams,22,PHI,PF,1,2,.500,71,159,.447,,,,
Charles Jones,33,WAS,C,0,0,,67,124,.540,,,,
Dwayne Schintzius,22,SAS,C,0,2,.000,68,153,.444,,,,
Manute Bol,28,PHI,C,1,14,.071,64,150,.427,,,,
John Shasky,26,DAL,C,0,0,,51,116,.440,,,,
Wayne Cooper,34,POR,C,0,1,.000,57,144,.396,,,,
Elden Campbell,22,LAL,PF,0,0,,56,123,.455,,,,
Dave Feitl,28,HOU,C,0,3,.000,52,137,.380,,,,
Alaa Abdelnaby,22,POR,PF,0,0,,55,116,.474,,,,
Scott Williams,22,CHI,PF,1,2,.500,52,102,.510,,,,
Ed Nealy,30,PHX,PF,5,16,.313,40,81,.494,,,,
Ken Bannister,30,LAC,PF,0,1,.000,43,80,.538,,,,
Roy Tarpley,26,DAL,C,0,1,.000,43,78,.551,,,,
Steve Johnson,33,GSW,C,0,0,,34,63,.540,,,,
Tony Massenburg,23,SAS,PF,0,0,,27,60,.450,,,,
Jim Grandholm,30,DAL,PF,9,17,.529,21,41,.512,,,,
Adrian Caldwell,24,HOU,PF,0,1,.000,35,82,.427,,,,
Ralph Sampson,30,SAC,C,1,5,.200,33,88,.375,,,,
Dave Hoppen,26,2TM,C,0,2,.000,24,42,.571,,,,
Steve Scheffler,23,CHA,C,0,0,,20,39,.513,,,,
Frank Kornet,24,MIL,PF,5,18,.278,18,44,.409,,,,
Stojko Vranković,27,BOS,C,0,0,,24,52,.462,,,,
Paul Mokeski,34,GSW,C,3,9,.333,18,50,.360,,,,
Trevor Wilson,22,ATL,PF,0,2,.000,21,68,.309,,,,
Alan Ogg,23,MIA,C,0,2,.000,24,53,.453,,,,
Howard Wright,23,3TM,PF,0,1,.000,19,46,.413,,,,
Scott Hastings,30,DET,PF,3,4,.750,13,24,.542,,,,
Dave Corzine,34,OKC,C,0,0,,17,38,.447,,,,
Irving Thomas,25,LAL,PF,0,0,,17,50,.340,,,,
Roy Hinson,29,BKN,PF,0,0,,20,39,.513,,,,
Walter Palmer,22,UTA,C,0,1,.000,15,44,.341,,,,
Matt Bullard,23,HOU,PF,0,3,.000,14,28,.500,,,,
Joe Barry Carroll,32,PHX,C,0,0,,13,36,.361,,,,
Tree Rollins,35,DET,C,0,0,,14,33,.424,,,,
Dave Popson,26,BOS,PF,0,0,,13,32,.406,,,,
Les Jepsen,23,GSW,C,0,1,.000,11,35,.314,,,,
Mike Smrek,28,2TM,C,0,0,,9,27,.333,,,,
Dan O'Sullivan,22,UTA,C,0,0,,7,16,.438,,,,
Miloš Babić,22,CLE,PF,0,0,,6,19,.316,,,,
Earl Cureton,33,CHA,PF,0,1,.000,8,23,.348,,,,
Scott Meents,27,OKC,PF,1,1,1.000,6,27,.222,,,,
Bob Thornton,28,MIN,PF,0,0,,4,13,.308,,,,
Pat Cummings,34,UTA,PF,0,0,,4,6,.667,,,,
Greg Butler,24,LAC,C,0,0,,5,19,.263,,,,
Dan Godfread,23,MIN,C,0,1,.000,5,11,.455,,,,
Chris Munk,23,UTA,PF,0,0,,3,7,.429,,,,
Jeff Sanders,25,CHA,PF,0,0,,6,14,.429,,,,
Stuart Gray,27,NYK,C,0,0,,4,12,.333,,,,
Anthony Mason,24,DEN,PF,0,0,,2,4,.500,,,,
Cedric Ball,22,LAC,PF,0,0,,3,8,.375,,,,
Jawann Oldham,33,IND,C,0,0,,3,6,.500,,,,
Gary Leonard,23,ATL,C,0,0,,0,0,,,,,
Mark McNamara,31,ORL,C,0,0,,0,1,.000,,,,
