Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Shaquille O'Neal,22,ORL,C,0,5,.000,930,1589,.585,,,,
David Robinson,29,SAS,C,6,20,.300,782,1467,.533,,,,
Karl Malone,31,UTA,PF,11,41,.268,819,1507,.543,,,,
Hakeem Olajuwon,32,HOU,C,3,16,.188,795,1529,.520,,,,
Patrick Ewing,32,NYK,C,6,21,.286,724,1431,.506,,,,
Alonzo Mourning,24,CHA,C,11,34,.324,560,1067,.525,,,,
Charles Barkley,31,PHX,PF,74,219,.338,480,922,.521,,,,
Shawn Kemp,25,OKC,PF,2,7,.286,543,990,.548,,,,
Larry Johnson,25,CHA,PF,81,210,.386,504,1009,.500,,,,
Vin Baker,23,MIL,PF,7,24,.292,587,1205,.487,,,,
Loy Vaught,26,LAC,PF,7,33,.212,602,1152,.523,,,,
Rik Smits,28,IND,C,0,2,.000,558,1058,.527,,,,
Christian Laettner,25,MIN,C,13,40,.325,437,880,.497,,,,
Vlade Divac,26,LAL,C,10,53,.189,475,904,.525,,,,
Armen Gilliam,30,BKN,PF,0,2,.000,455,903,.504,,,,
Kevin Willis,32,2TM,PF,3,15,.200,470,1000,.470,,,,
Derrick Coleman,27,BKN,PF,28,120,.233,343,755,.454,,,,
Dino Radja,27,BOS,PF,0,1,.000,450,918,.490,,,,
Terry Mills,27,DET,PF,109,285,.382,308,648,.475,,,,
Juwan Howard,21,WAS,PF,0,7,.000,455,924,.492,,,,
Chris Webber,21,WAS,PF,40,145,.276,424,793,.535,,,,
Brian Grant,22,SAC,PF,1,4,.250,412,805,.512,,,,
Sam Perkins,33,OKC,C,136,343,.397,210,399,.526,,,,
Rodney Rogers,23,DEN,PF,50,148,.338,325,621,.523,,,,
Tom Gugliotta,25,3TM,PF,60,186,.323,311,651,.478,,,,
Tyrone Hill,26,CLE,C,0,1,.000,350,693,.505,,,,
Horace Grant,29,ORL,PF,0,8,.000,401,699,.574,,,,
Dikembe Mutombo,28,DEN,C,0,0,,349,628,.556,,,,
Grant Long,28,2TM,PF,11,31,.355,331,685,.483,,,,
Otis Thorpe,32,2TM,PF,0,7,.000,385,674,.571,,,,
Hot Rod Williams,32,CLE,PF,1,5,.200,365,805,.453,,,,
Elden Campbell,26,LAL,PF,0,1,.000,360,784,.459,,,,
Sharone Wright,22,PHI,C,0,8,.000,361,768,.470,,,,
Olden Polynice,30,SAC,C,1,1,1.000,375,690,.543,,,,
Sean Rooks,25,MIN,C,0,5,.000,289,610,.474,,,,
Popeye Jones,24,DAL,PF,1,12,.083,371,827,.449,,,,
Danny Manning,28,PHX,PF,6,21,.286,334,601,.556,,,,
Marty Conlon,27,MIL,C,8,29,.276,336,618,.544,,,,
Chris Gatling,27,GSW,PF,0,1,.000,324,511,.634,,,,
Andrew Lang,28,ATL,C,2,3,.667,318,674,.472,,,,
Dale Davis,25,IND,PF,0,1,.000,324,575,.563,,,,
Eric Montross,23,BOS,C,0,1,.000,307,574,.535,,,,
Shawn Bradley,22,PHI,C,0,3,.000,315,690,.457,,,,
Anthony Mason,28,NYK,PF,0,1,.000,287,506,.567,,,,
Buck Williams,34,POR,PF,1,2,.500,308,602,.512,,,,
Antoine Carr,33,UTA,C,1,4,.250,289,542,.533,,,,
Tony Massenburg,27,LAC,C,0,3,.000,282,598,.472,,,,
Gheorghe Mureșan,23,WAS,C,0,0,,303,541,.560,,,,
Roy Tarpley,30,DAL,C,5,18,.278,287,592,.485,,,,
Harvey Grant,29,POR,PF,8,26,.308,278,595,.467,,,,
Benoit Benjamin,30,BKN,C,0,0,,271,531,.510,,,,
Robert Horry,24,HOU,PF,86,227,.379,154,310,.497,,,,
P.J. Brown,25,BKN,C,4,24,.167,250,546,.458,,,,
Wayman Tisdale,30,PHX,PF,0,0,,278,574,.484,,,,
Will Perdue,29,CHI,C,0,1,.000,254,458,.555,,,,
Matt Geiger,25,MIA,C,4,10,.400,256,475,.539,,,,
Danny Ferry,28,CLE,PF,94,233,.403,129,267,.483,,,,
Michael Smith,22,SAC,PF,0,2,.000,220,404,.545,,,,
J.R. Reid,26,SAS,PF,1,2,.500,200,394,.508,,,,
John Salley,30,MIA,C,0,0,,197,395,.499,,,,
Oliver Miller,24,DET,PF,3,13,.231,229,405,.565,,,,
Terry Cummings,33,SAS,PF,0,0,,224,464,.483,,,,
Charles Oakley,31,NYK,PF,3,12,.250,189,381,.496,,,,
Tom Chambers,35,UTA,PF,4,24,.167,191,403,.474,,,,
