Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Dirk Nowitzki,30,DAL,PF,61,170,.359,713,1446,.493,,,,
Antawn Jamison,32,WAS,PF,112,319,.351,562,1122,.501,,,,
Chris Bosh,24,TOR,C,12,49,.245,603,1214,.497,,,,
Dwight Howard,23,ORL,C,0,2,.000,560,977,.573,,,,
David West,28,NOP,PF,6,25,.240,604,1267,.477,,,,
Pau Gasol,28,LAL,C,1,2,.500,591,1043,.567,,,,
Yao Ming,28,HOU,C,1,1,1.000,565,1031,.548,,,,
LaMarcus Aldridge,23,POR,PF,7,28,.250,594,1215,.489,,,,
Al Harrington,28,2TM,PF,171,470,.364,361,742,.487,,,,
Tim Duncan,32,SAS,C,0,2,.000,558,1105,.505,,,,
Rashard Lewis,29,ORL,PF,220,554,.397,258,535,.482,,,,
Shaquille O'Neal,36,PHX,C,0,1,.000,512,840,.610,,,,
David Lee,25,NYK,C,0,3,.000,522,948,.551,,,,
Jeff Green,22,OKC,PF,96,247,.389,380,821,.463,,,,
Charlie Villanueva,24,MIL,PF,89,258,.345,398,831,.479,,,,
Mehmet Okur,29,UTA,C,90,202,.446,341,686,.497,,,,
Andrea Bargnani,23,TOR,PF,119,291,.409,312,667,.468,,,,
Al Jefferson,24,MIN,C,0,4,.000,485,971,.499,,,,
Thaddeus Young,20,PHI,PF,56,164,.341,419,796,.526,,,,
Amar'e Stoudemire,26,PHX,PF,3,7,.429,401,742,.540,,,,
Michael Beasley,20,MIA,PF,33,81,.407,419,876,.478,,,,
Nenê,26,DEN,C,1,5,.200,427,704,.607,,,,
Emeka Okafor,26,CHA,C,0,0,,433,772,.561,,,,
Josh Smith,23,ATL,PF,26,87,.299,392,762,.514,,,,
Boris Diaw,26,2TM,PF,75,181,.414,373,703,.531,,,,
Brook Lopez,20,BKN,C,0,2,.000,448,842,.532,,,,
Luis Scola,28,HOU,PF,0,3,.000,424,796,.533,,,,
Troy Murphy,28,IND,PF,161,358,.450,203,409,.496,,,,
Zach Randolph,27,2TM,C,32,97,.330,383,776,.494,,,,
Paul Millsap,23,UTA,PF,0,4,.000,400,745,.537,,,,
Marc Gasol,24,MEM,C,0,1,.000,350,660,.530,,,,
Hakim Warrick,26,MEM,PF,5,23,.217,335,670,.500,,,,
Corey Maggette,29,GSW,PF,24,95,.253,268,539,.497,,,,
Jason Thompson,22,SAC,PF,0,8,.000,356,709,.502,,,,
Jermaine O'Neal,30,2TM,C,0,1,.000,365,769,.475,,,,
Kevin Garnett,32,BOS,PF,2,8,.250,391,732,.534,,,,
Kevin Love,20,MIN,C,2,19,.105,314,669,.469,,,,
Lamar Odom,29,LAL,PF,33,103,.320,313,600,.522,,,,
Spencer Hawes,20,SAC,C,40,115,.348,333,685,.486,,,,
Andrés Nocioni,29,2TM,PF,124,311,.399,175,390,.449,,,,
Tyrus Thomas,22,CHI,PF,3,9,.333,305,674,.453,,,,
Zydrunas Ilgauskas,33,CLE,C,15,39,.385,327,685,.477,,,,
Brad Miller,32,2TM,C,23,56,.411,269,558,.482,,,,
Rasheed Wallace,34,DET,C,113,319,.354,189,401,.471,,,,
Udonis Haslem,28,MIA,PF,0,0,,333,643,.518,,,,
Matt Barnes,28,PHX,PF,117,341,.343,168,333,.505,,,,
Andrei Kirilenko,27,UTA,PF,20,73,.274,236,497,.475,,,,
Al Horford,22,ATL,C,0,1,.000,312,593,.526,,,,
Kenyon Martin,31,DEN,PF,14,38,.368,304,610,.498,,,,
Craig Smith,25,MIN,PF,0,1,.000,289,513,.563,,,,
Andris Biedriņš,22,GSW,C,0,1,.000,308,532,.579,,,,
Andrew Bynum,21,LAL,C,0,0,,281,502,.560,,,,
Andray Blatche,22,WAS,C,5,21,.238,292,609,.479,,,,
Anderson Varejão,26,CLE,PF,0,2,.000,270,502,.538,,,,
Brandon Bass,23,DAL,C,0,6,.000,252,502,.502,,,,
Matt Bonner,28,SAS,PF,118,268,.440,148,268,.552,,,,
Kendrick Perkins,24,BOS,C,0,2,.000,276,476,.580,,,,
Marcus Camby,34,LAC,C,1,4,.250,253,492,.514,,,,
Carl Landry,25,HOU,PF,1,3,.333,239,415,.576,,,,
Marreese Speights,21,PHI,C,2,8,.250,250,494,.506,,,,
Drew Gooden,27,3TM,PF,0,4,.000,237,502,.472,,,,
Carlos Boozer,27,UTA,PF,0,0,,251,512,.490,,,,
Antonio McDyess,34,DET,PF,0,0,,268,525,.510,,,,
Luc Mbah a Moute,22,MIL,PF,0,4,.000,227,487,.466,,,,
Nick Collison,28,OKC,C,0,2,.000,243,426,.570,,,,
Darius Songaila,30,WAS,C,0,1,.000,243,456,.533,,,,
Tim Thomas,31,3TM,PF,78,189,.413,111,249,.446,,,,
Greg Oden,21,POR,C,0,0,,198,351,.564,,,,
Leon Powe,25,BOS,PF,0,0,,177,338,.524,,,,
Joakim Noah,23,CHI,C,0,1,.000,207,371,.558,,,,
Glen Davis,23,BOS,C,2,5,.400,197,445,.443,,,,
Yi Jianlian,21,BKN,PF,48,140,.343,143,360,.397,,,,
Samuel Dalembert,27,PHI,C,0,2,.000,216,432,.500,,,,
Anthony Randolph,19,GSW,PF,0,4,.000,199,427,.466,,,,
Roy Hibbert,22,IND,C,0,0,,198,420,.471,,,,
Steve Novak,25,LAC,PF,119,286,.416,57,110,.518,,,,
JaVale McGee,21,WAS,C,0,0,,191,387,.494,,,,
Ryan Anderson,20,BKN,PF,69,189,.365,91,218,.417,,,,
Zaza Pachulia,24,ATL,C,0,3,.000,159,317,.502,,,,
Rasho Nesterović,32,IND,C,0,1,.000,224,436,.514,,,,
Ronny Turiaf,26,GSW,C,0,3,.000,186,363,.512,,,,
Erick Dampier,33,DAL,C,0,0,,182,280,.650,,,,
Chris Andersen,30,DEN,C,2,10,.200,158,282,.560,,,,
Jeff Foster,32,IND,C,2,7,.286,175,346,.506,,,,
Jason Maxiell,25,DET,C,0,1,.000,184,319,.577,,,,
Joel Przybilla,29,POR,C,0,1,.000,168,268,.627,,,,
Chris Wilcox,26,2TM,C,0,4,.000,184,366,.503,,,,
Nenad Krstić,25,OKC,C,0,0,,191,407,.469,,,,
Darrell Arthur,20,MEM,PF,0,2,.000,191,434,.440,,,,
Andrew Bogut,24,MIL,C,0,0,,183,317,.577,,,,
Elton Brand,29,PHI,PF,0,0,,163,365,.447,,,,
Tyson Chandler,26,NOP,C,0,0,,160,283,.565,,,,
Joe Smith,33,2TM,C,3,7,.429,153,326,.469,,,,
Chris Kaman,26,LAC,C,0,0,,161,305,.528,,,,
Tony Battie,32,ORL,PF,2,9,.222,156,314,.497,,,,
Kurt Thomas,36,SAS,PF,0,2,.000,153,302,.507,,,,
Hilton Armstrong,24,NOP,C,0,2,.000,138,244,.566,,,,
Darko Miličić,23,MEM,C,0,0,,137,266,.515,,,,
Brandan Wright,21,GSW,PF,0,4,.000,130,242,.537,,,,
Lou Amundson,26,PHX,PF,0,1,.000,134,249,.538,,,,
James Singleton,27,DAL,PF,13,40,.325,104,181,.575,,,,
Mikki Moore,33,2TM,C,0,0,,114,206,.553,,,,
Dan Gadzuric,30,MIL,C,0,2,.000,117,242,.483,,,,
Renaldo Balkman,24,DEN,PF,2,7,.286,108,190,.568,,,,
Channing Frye,25,POR,PF,11,33,.333,102,234,.436,,,,
Reggie Evans,28,PHI,PF,0,1,.000,79,177,.446,,,,
Josh Boone,24,BKN,C,0,0,,113,214,.528,,,,
Josh Powell,26,LAL,PF,0,0,,106,239,.444,,,,
J.J. Hickson,20,CLE,C,0,0,,100,194,.515,,,,
Kwame Brown,26,DET,C,0,0,,90,169,.533,,,,
Marcin Gortat,24,ORL,PF,1,1,1.000,105,186,.565,,,,
DeAndre Jordan,20,LAC,C,0,0,,93,147,.633,,,,
Kosta Koufos,19,UTA,C,0,0,,94,185,.508,,,,
Amir Johnson,21,DET,PF,0,0,,97,163,.595,,,,
