Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Nikola Jokić,25,DEN,C,92,237,.388,640,1056,.606,,,,
Giannis Antetokounmpo,26,MIL,PF,67,221,.303,559,879,.636,,,,
Julius Randle,26,NYK,PF,160,389,.411,442,932,.474,,,,
Zion Williamson,20,NOP,PF,10,34,.294,624,1003,.622,,,,
Nikola Vučević,30,2TM,C,176,440,.400,490,956,.513,,,,
Joel Embiid,26,PHI,C,58,154,.377,403,745,.541,,,,
Andrew Wiggins,25,GSW,PF,140,368,.380,365,690,.529,,,,
DeMar DeRozan,31,SAS,PF,19,74,.257,436,846,.515,,,,
Domantas Sabonis,24,IND,PF,52,162,.321,432,742,.582,,,,
Karl-Anthony Towns,25,MIN,C,122,315,.387,303,560,.541,,,,
Tobias Harris,28,PHI,PF,82,208,.394,391,716,.546,,,,
Bam Adebayo,23,MIA,C,2,8,.250,454,792,.573,,,,
Pascal Siakam,26,TOR,PF,73,246,.297,364,715,.509,,,,
John Collins,23,ATL,PF,83,208,.399,346,563,.615,,,,
Jonas Valančiūnas,28,MEM,C,21,57,.368,419,686,.611,,,,
Rudy Gobert,28,UTA,C,0,4,.000,391,575,.680,,,,
Deandre Ayton,22,PHX,C,4,20,.200,426,667,.639,,,,
Clint Capela,26,ATL,C,0,0,,413,695,.594,,,,
Kelly Olynyk,29,2TM,PF,126,368,.342,211,329,.641,,,,
Kevin Durant,32,BKN,PF,85,189,.450,239,414,.577,,,,
Harrison Barnes,28,SAC,PF,100,256,.391,219,386,.567,,,,
Montrezl Harrell,27,LAL,C,0,10,.000,375,593,.632,,,,
Carmelo Anthony,36,POR,PF,133,325,.409,194,452,.429,,,,
Doug McDermott,29,IND,PF,111,286,.388,243,379,.641,,,,
Richaun Holmes,27,SAC,C,2,11,.182,364,564,.645,,,,
Kristaps Porziņģis,25,DAL,C,97,258,.376,228,425,.536,,,,
Christian Wood,25,HOU,C,77,206,.374,252,434,.581,,,,
Brook Lopez,32,MIL,C,95,281,.338,227,359,.632,,,,
Kyle Anderson,27,MEM,PF,94,261,.360,214,397,.539,,,,
Miles Bridges,22,CHA,PF,116,290,.400,197,332,.593,,,,
P.J. Washington,22,CHA,PF,112,290,.386,190,396,.480,,,,
Thaddeus Young,32,CHI,PF,12,45,.267,358,617,.580,,,,
Chris Boucher,28,TOR,C,90,235,.383,198,325,.609,,,,
Enes Freedom,28,POR,C,1,4,.250,338,557,.607,,,,
Jarrett Allen,22,2TM,C,6,19,.316,292,463,.631,,,,
Rui Hachimura,22,WAS,PF,45,137,.328,265,511,.519,,,,
Anthony Davis,27,LAL,PF,26,100,.260,275,513,.536,,,,
Naz Reid,21,MIN,C,61,174,.351,243,407,.597,,,,
Marcus Morris,31,LAC,PF,140,296,.473,136,288,.472,,,,
Darius Bazley,20,OKC,PF,83,286,.290,190,404,.470,,,,
Bobby Portis,25,MIL,C,74,157,.471,239,441,.542,,,,
Jeff Green,34,BKN,PF,103,250,.412,158,280,.564,,,,
Rudy Gay,34,SAS,PF,106,278,.381,158,350,.451,,,,
Lauri Markkanen,23,CHI,PF,119,296,.402,131,225,.582,,,,
Andre Drummond,27,2TM,C,0,8,.000,282,564,.500,,,,
Danilo Gallinari,32,ATL,PF,103,254,.406,103,221,.466,,,,
Dāvis Bertāns,28,WAS,PF,169,428,.395,24,50,.480,,,,
Patrick Williams,19,CHI,PF,54,138,.391,201,390,.515,,,,
Ivica Zubac,23,LAC,C,1,4,.250,256,390,.656,,,,
Robin Lopez,32,WAS,C,5,18,.278,264,407,.649,,,,
Daniel Theis,28,2TM,C,49,152,.322,203,314,.646,,,,
Aaron Gordon,25,2TM,PF,59,176,.335,172,323,.533,,,,
Brandon Clarke,24,MEM,PF,20,77,.260,236,418,.565,,,,
Marvin Bagley III,21,SAC,PF,37,108,.343,210,382,.550,,,,
Wendell Carter Jr.,21,2TM,C,15,51,.294,215,406,.530,,,,
Jae Crowder,30,PHX,PF,148,380,.389,51,112,.455,,,,
Robert Covington,30,POR,PF,135,356,.379,69,153,.451,,,,
Jakob Poeltl,25,SAS,C,0,0,,265,430,.616,,,,
Myles Turner,24,IND,C,69,206,.335,137,226,.606,,,,
Dorian Finney-Smith,27,DAL,PF,119,302,.394,101,164,.616,,,,
Mason Plumlee,30,DET,C,0,7,.000,234,374,.626,,,,
Cameron Johnson,24,PHX,PF,117,335,.349,86,148,.581,,,,
Isaiah Stewart,19,DET,C,21,63,.333,205,346,.592,,,,
Isaiah Roby,22,OKC,PF,32,109,.294,175,320,.547,,,,
Kenrich Williams,26,OKC,PF,52,117,.444,167,294,.568,,,,
