Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Karl Malone,29,UTA,PF,4,20,.200,793,1423,.557,,,,
Hakeem Olajuwon,30,HOU,C,0,8,.000,848,1595,.532,,,,
Patrick Ewing,30,NYK,C,1,7,.143,778,1543,.504,,,,
Charles Barkley,29,PHX,PF,67,220,.305,649,1156,.561,,,,
David Robinson,27,SAS,C,3,17,.176,673,1331,.506,,,,
Shaquille O'Neal,20,ORL,C,0,2,.000,733,1302,.563,,,,
Larry Johnson,23,CHA,PF,18,71,.254,710,1314,.540,,,,
Danny Manning,26,LAC,PF,8,30,.267,694,1349,.514,,,,
Alonzo Mourning,22,CHA,C,0,3,.000,572,1116,.513,,,,
Derrick Coleman,25,BKN,PF,23,99,.232,541,1127,.480,,,,
Clifford Robinson,26,POR,PF,19,77,.247,613,1259,.487,,,,
Detlef Schrempf,30,IND,PF,8,52,.154,509,1033,.493,,,,
Christian Laettner,23,MIN,PF,4,40,.100,499,1021,.489,,,,
Kevin Willis,30,ATL,PF,7,29,.241,609,1189,.512,,,,
Brad Daugherty,27,CLE,C,1,2,.500,519,909,.571,,,,
Shawn Kemp,23,OKC,PF,0,4,.000,515,1043,.494,,,,
Larry Nance,33,CLE,PF,0,4,.000,533,967,.551,,,,
Wayman Tisdale,28,SAC,PF,0,2,.000,544,1066,.510,,,,
Rony Seikaly,27,MIA,C,1,8,.125,416,860,.484,,,,
LaPhonso Ellis,22,DEN,PF,2,13,.154,481,945,.509,,,,
Terry Mills,25,DET,PF,10,36,.278,484,1036,.467,,,,
Tom Gugliotta,23,WAS,PF,38,135,.281,446,1000,.446,,,,
Rik Smits,26,IND,C,0,0,,494,1017,.486,,,,
Dikembe Mutombo,26,DEN,C,0,0,,398,781,.510,,,,
Frank Brickowski,33,MIL,C,8,26,.308,448,810,.553,,,,
Xavier McDaniel,29,BOS,PF,6,22,.273,451,902,.500,,,,
Grant Long,26,MIA,PF,6,26,.231,391,821,.476,,,,
A.C. Green,29,LAL,PF,16,46,.348,363,660,.550,,,,
