Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Anthony Miller,27,HOU,PF,0,1,.000,28,59,.475,,,,
Joe Kleine,37,PHX,C,0,2,.000,30,72,.417,,,,
Carl Herrera,32,2TM,PF,0,1,.000,30,75,.400,,,,
Michael Stewart,23,TOR,C,0,0,,22,53,.415,,,,
Mark West,38,ATL,C,0,0,,22,59,.373,,,,
Popeye Jones,28,BOS,PF,0,1,.000,20,50,.400,,,,
Dennis Rodman,37,LAL,PF,0,2,.000,16,44,.364,,,,
Jahidi White,22,WAS,PF,0,0,,17,32,.531,,,,
Jim McIlvaine,26,BKN,C,0,0,,22,51,.431,,,,
Antoine Carr,37,HOU,PF,0,1,.000,21,51,.412,,,,
Ryan Stack,23,CLE,PF,0,0,,14,37,.378,,,,
Al Harrington,18,IND,PF,0,5,.000,18,51,.353,,,,
Duane Causwell,30,MIA,C,0,0,,20,35,.571,,,,
Nazr Mohammed,21,PHI,C,0,0,,15,42,.357,,,,
Felton Spencer,31,GSW,C,0,0,,15,33,.455,,,,
David Vaughn,25,BKN,PF,0,0,,13,24,.542,,,,
Keith Closs,22,LAC,C,0,1,.000,12,22,.545,,,,
John Coker,27,WAS,C,0,0,,13,31,.419,,,,
Jerald Honeycutt,24,2TM,PF,5,17,.294,4,15,.267,,,,
Hot Rod Williams,36,DAL,C,0,0,,11,33,.333,,,,
Danny Schayes,39,ORL,C,0,0,,11,29,.379,,,,
Jerome James,23,SAC,C,0,0,,9,24,.375,,,,
Ben Davis,26,NYK,PF,0,0,,7,17,.412,,,,
Loren Meyer,26,DEN,C,1,5,.200,6,23,.261,,,,
Rony Seikaly,33,BKN,C,0,0,,4,20,.200,,,,
Stanley Roberts,28,HOU,C,0,0,,5,13,.385,,,,
Scott Williams,30,2TM,C,0,0,,5,17,.294,,,,
Antonio Lang,26,CLE,PF,0,0,,4,6,.667,,,,
Rick Mahorn,40,PHI,PF,0,0,,5,18,.278,,,,
Sean Marks,23,TOR,PF,0,0,,5,8,.625,,,,
Dwayne Schintzius,30,BOS,C,0,0,,4,16,.250,,,,
Oliver Miller,28,SAC,C,0,0,,5,11,.455,,,,
Herb Williams,40,NYK,C,0,0,,4,8,.500,,,,
Anthony Avent,29,UTA,PF,0,0,,4,13,.308,,,,
Terry Mills,31,MIA,PF,2,4,.500,1,4,.250,,,,
Marty Conlon,31,MIA,C,0,0,,3,13,.231,,,,
Rasho Nesterović,22,MIN,C,0,0,,3,12,.250,,,,
Mario Bennett,25,CHI,PF,0,0,,2,6,.333,,,,
William Cunningham,24,2TM,C,0,0,,3,18,.167,,,,
Makhtar N'Diaye,25,MEM,PF,0,0,,1,4,.250,,,,
Carlos Rogers,27,POR,PF,0,0,,2,2,1.000,,,,
Benoit Benjamin,34,PHI,C,0,0,,2,7,.286,,,,
Mikki Moore,23,DET,C,0,0,,1,1,1.000,,,,
Bruno Šundov,18,DAL,C,0,0,,2,7,.286,,,,
Paul Grant,25,2TM,C,0,0,,2,6,.333,,,,
Peter Aluma,25,SAC,C,0,0,,1,2,.500,,,,
Casey Shaw,23,PHI,C,0,0,,1,8,.125,,,,
Stojko Vranković,35,LAC,C,0,0,,1,4,.250,,,,
Jonathan Kerner,24,ORL,C,0,0,,0,1,.000,,,,
Gheorghe Mureșan,27,BKN,C,0,0,,0,1,.000,,,,
Trevor Winter,25,MIN,C,0,0,,0,0,,,,,
Joe Wolf,34,CHA,PF,0,0,,0,1,.000,,,,
