Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Joel Embiid,28,PHI,C,66,200,.330,662,1128,.587,,,,
Giannis Antetokounmpo,28,MIL,PF,47,171,.275,660,1107,.596,,,,
Julius Randle,28,NYK,PF,218,636,.343,440,796,.553,,,,
Pascal Siakam,28,TOR,PF,93,287,.324,537,1026,.523,,,,
Lauri Markkanen,25,UTA,PF,200,511,.391,371,634,.585,,,,
Nikola Jokić,27,DEN,C,57,149,.383,589,873,.675,,,,
LeBron James,38,LAL,PF,121,377,.321,488,842,.580,,,,
Bam Adebayo,25,MIA,C,1,12,.083,601,1102,.545,,,,
Domantas Sabonis,26,SAC,C,31,83,.373,546,855,.639,,,,
Kristaps Porziņģis,27,WAS,C,137,356,.385,370,662,.559,,,,
Jimmy Butler,33,MIA,PF,36,103,.350,443,785,.564,,,,
Anthony Davis,29,LAL,C,19,74,.257,523,888,.589,,,,
Nikola Vučević,32,CHI,C,121,347,.349,476,801,.594,,,,
Paolo Banchero,20,ORL,PF,85,285,.298,394,837,.471,,,,
Kevin Durant,34,2TM,PF,93,230,.404,390,632,.617,,,,
Kyle Kuzma,27,WAS,PF,160,481,.333,352,661,.533,,,,
Jerami Grant,28,POR,PF,144,359,.401,290,554,.523,,,,
Evan Mobley,21,CLE,PF,22,102,.216,503,845,.595,,,,
Bojan Bogdanović,33,DET,PF,145,353,.411,285,529,.539,,,,
Josh Giddey,20,OKC,PF,76,234,.325,463,884,.524,,,,
Brook Lopez,34,MIL,C,136,364,.374,341,535,.637,,,,
Harrison Barnes,30,SAC,PF,132,353,.374,242,438,.553,,,,
Deandre Ayton,24,PHX,C,7,24,.292,515,863,.597,,,,
Jaren Jackson Jr.,23,MEM,C,100,282,.355,316,540,.585,,,,
P.J. Washington,24,CHA,PF,149,428,.348,285,550,.518,,,,
Jonas Valančiūnas,30,NOP,C,38,109,.349,408,707,.577,,,,
Christian Wood,27,DAL,C,105,279,.376,291,490,.594,,,,
Myles Turner,26,IND,C,93,249,.373,309,484,.638,,,,
Aaron Gordon,27,DEN,PF,60,173,.347,369,588,.628,,,,
Alperen Şengün,20,HOU,C,19,57,.333,423,742,.570,,,,
Jabari Smith Jr.,19,HOU,PF,120,391,.307,244,501,.487,,,,
Bobby Portis,27,MIL,PF,95,257,.370,303,546,.555,,,,
Jarrett Allen,24,CLE,C,1,10,.100,402,616,.653,,,,
Nic Claxton,23,BKN,C,0,2,.000,414,585,.708,,,,
Rudy Gobert,30,MIN,C,0,3,.000,360,543,.663,,,,
John Collins,25,ATL,PF,70,240,.292,289,467,.619,,,,
Jakob Poeltl,27,2TM,C,0,1,.000,389,617,.630,,,,
Wendell Carter Jr.,23,ORL,C,80,225,.356,242,388,.624,,,,
Mason Plumlee,32,2TM,C,0,0,,329,484,.680,,,,
Kelly Olynyk,31,UTA,C,93,236,.394,185,321,.576,,,,
Patrick Williams,21,CHI,PF,115,277,.415,199,400,.498,,,,
Ivica Zubac,25,LAC,C,0,2,.000,326,512,.637,,,,
Onyeka Okongwu,22,ATL,C,4,13,.308,313,484,.647,,,,
Naz Reid,23,MIN,C,75,217,.346,235,360,.653,,,,
Clint Capela,28,ATL,C,0,1,.000,350,535,.654,,,,
Tari Eason,21,HOU,PF,59,172,.343,237,488,.486,,,,
Zion Williamson,22,NOP,PF,7,19,.368,278,450,.618,,,,
Zach Collins,25,SAS,C,55,147,.374,229,401,.571,,,,
