Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Anthony Davis,23,NOP,C,40,134,.299,730,1392,.524,,,,
Karl-Anthony Towns,21,MIN,C,101,275,.367,701,1205,.582,,,,
DeMarcus Cousins,26,2TM,C,131,363,.361,516,1069,.483,,,,
Kevin Durant,28,GSW,PF,117,312,.375,434,714,.608,,,,
Brook Lopez,28,BKN,C,134,387,.346,421,785,.536,,,,
Harrison Barnes,24,DAL,PF,78,222,.351,521,1058,.492,,,,
Marc Gasol,32,MEM,C,104,268,.388,428,892,.480,,,,
Tobias Harris,24,DET,PF,109,314,.347,402,749,.537,,,,
Blake Griffin,27,LAC,PF,38,113,.336,441,858,.514,,,,
Hassan Whiteside,27,MIA,C,0,0,,542,973,.557,,,,
Paul Millsap,31,ATL,PF,75,241,.311,355,731,.486,,,,
LaMarcus Aldridge,31,SAS,PF,23,56,.411,477,993,.480,,,,
Nikola Jokić,21,DEN,C,45,139,.324,449,715,.628,,,,
Kristaps Porziņģis,21,NYK,PF,112,314,.357,331,671,.493,,,,
Myles Turner,20,IND,C,40,115,.348,404,754,.536,,,,
Serge Ibaka,27,2TM,PF,124,317,.391,347,665,.522,,,,
Kevin Love,28,CLE,PF,145,389,.373,225,478,.471,,,,
Rudy Gobert,24,UTA,C,0,1,.000,413,624,.662,,,,
Andre Drummond,23,DET,C,2,7,.286,481,904,.532,,,,
Nikola Vučević,26,ORL,C,23,75,.307,460,956,.481,,,,
Ersan İlyasova,29,3TM,PF,142,402,.353,242,488,.496,,,,
Markieff Morris,27,WAS,PF,71,196,.362,335,693,.483,,,,
Dario Šarić,22,PHI,PF,106,341,.311,275,586,.469,,,,
Enes Freedom,24,OKC,C,5,38,.132,397,699,.568,,,,
DeAndre Jordan,28,LAC,C,0,2,.000,412,575,.717,,,,
Zach Randolph,35,MEM,PF,21,94,.223,412,870,.474,,,,
Jabari Parker,21,MIL,PF,65,178,.365,334,636,.525,,,,
Dwight Howard,31,ATL,C,0,2,.000,388,611,.635,,,,
Ryan Anderson,28,HOU,PF,204,506,.403,119,267,.446,,,,
James Johnson,29,MIA,PF,87,256,.340,281,513,.548,,,,
Julius Randle,22,LAL,PF,17,63,.270,360,710,.507,,,,
Jonas Valančiūnas,24,TOR,C,1,2,.500,390,700,.557,,,,
Al Horford,30,BOS,C,86,242,.355,293,559,.524,,,,
Greg Monroe,26,MIL,C,0,4,.000,387,722,.536,,,,
Steven Adams,23,OKC,C,0,1,.000,374,654,.572,,,,
Marcin Gortat,32,WAS,C,0,2,.000,390,672,.580,,,,
Frank Kaminsky,23,CHA,C,116,354,.328,204,448,.455,,,,
Marvin Williams,30,CHA,PF,124,354,.350,173,350,.494,,,,
Taj Gibson,31,2TM,PF,3,13,.231,362,696,.520,,,,
Mason Plumlee,26,2TM,C,0,6,.000,334,617,.541,,,,
Robin Lopez,28,CHI,C,0,2,.000,382,773,.494,,,,
Clint Capela,22,HOU,C,0,0,,362,563,.643,,,,
Gorgui Dieng,27,MIN,PF,16,43,.372,316,618,.511,,,,
Thaddeus Young,28,IND,PF,45,118,.381,317,569,.557,,,,
Pau Gasol,36,SAS,C,56,104,.538,247,500,.494,,,,
Draymond Green,26,GSW,PF,81,263,.308,191,387,.494,,,,
Dirk Nowitzki,38,DAL,PF,79,209,.378,217,469,.463,,,,
Jon Leuer,27,DET,PF,49,167,.293,261,479,.545,,,,
Marquese Chriss,19,PHX,PF,72,224,.321,212,408,.520,,,,
Nikola Mirotić,25,CHI,PF,129,377,.342,129,248,.520,,,,
Marreese Speights,29,LAC,C,103,277,.372,141,271,.520,,,,
Trevor Booker,29,BKN,PF,25,78,.321,280,513,.546,,,,
JaMychal Green,26,MEM,PF,55,145,.379,195,355,.549,,,,
Kelly Olynyk,25,BOS,C,68,192,.354,192,316,.608,,,,
Channing Frye,33,CLE,C,137,335,.409,101,185,.546,,,,
Jusuf Nurkić,22,2TM,C,0,1,.000,271,533,.508,,,,
Cody Zeller,24,CHA,C,0,1,.000,253,442,.572,,,,
Jeff Green,30,ORL,PF,53,193,.275,167,365,.458,,,,
Tristan Thompson,25,CLE,C,0,3,.000,262,434,.604,,,,
Joel Embiid,22,PHI,C,36,98,.367,164,331,.495,,,,
Alex Len,23,PHX,C,3,12,.250,227,451,.503,,,,
Willie Cauley-Stein,23,SAC,C,0,2,.000,255,479,.532,,,,
Nenê,34,HOU,C,3,9,.333,242,388,.624,,,,
Jahlil Okafor,21,PHI,C,0,0,,242,471,.514,,,,
Kenneth Faried,27,DEN,PF,0,6,.000,228,410,.556,,,,
Willy Hernangómez,22,NYK,C,4,15,.267,242,450,.538,,,,
Terrence Jones,25,2TM,PF,19,75,.253,212,417,.508,,,,
David Lee,33,SAS,PF,0,0,,248,420,.590,,,,
Richaun Holmes,23,PHI,C,27,77,.351,203,335,.606,,,,
Al Jefferson,32,IND,C,0,1,.000,235,470,.500,,,,
Al-Farouq Aminu,26,POR,PF,70,212,.330,113,254,.445,,,,
Michael Beasley,28,MIL,PF,18,43,.419,198,363,.545,,,,
Montrezl Harrell,23,HOU,C,1,7,.143,224,338,.663,,,,
Amir Johnson,29,BOS,PF,27,66,.409,186,304,.612,,,,
Dwight Powell,25,DAL,C,21,74,.284,173,303,.571,,,,
Sam Dekker,22,HOU,PF,60,187,.321,143,242,.591,,,,
Kyle O'Quinn,26,NYK,C,2,17,.118,213,396,.538,,,,
Bismack Biyombo,24,ORL,C,0,0,,179,339,.528,,,,
Domantas Sabonis,20,OKC,PF,51,159,.321,141,322,.438,,,,
Derrick Favors,25,UTA,PF,3,10,.300,200,407,.491,,,,
JaVale McGee,29,GSW,C,0,3,.000,208,316,.658,,,,
Kosta Koufos,27,SAC,C,0,1,.000,216,391,.552,,,,
Anthony Tolliver,31,SAC,PF,90,230,.391,65,121,.537,,,,
Mirza Teletović,31,MIL,PF,104,305,.341,52,113,.460,,,,
Larry Nance Jr.,24,LAL,PF,10,36,.278,180,325,.554,,,,
Patrick Patterson,27,TOR,PF,94,253,.372,60,131,.458,,,,
Nerlens Noel,22,2TM,C,0,1,.000,184,308,.597,,,,
Justin Hamilton,26,BKN,C,55,180,.306,119,199,.598,,,,
Trey Lyles,21,UTA,PF,65,204,.319,94,235,.400,,,,
Bobby Portis,21,CHI,PF,32,96,.333,151,279,.541,,,,
Jerami Grant,22,2TM,PF,43,116,.371,109,212,.514,,,,
Dante Cunningham,29,NOP,PF,71,181,.392,103,178,.579,,,,
Mike Muscala,25,ATL,C,46,110,.418,124,227,.546,,,,
