Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Dirk Nowitzki,24,DAL,PF,148,390,.379,542,1099,.493,,,,
Tim Duncan,26,SAS,PF,6,22,.273,708,1370,.517,,,,
Kevin Garnett,26,MIN,PF,20,71,.282,723,1410,.513,,,,
Shaquille O'Neal,30,LAL,C,0,0,,695,1211,.574,,,,
Karl Malone,39,UTA,PF,3,14,.214,592,1275,.464,,,,
Shareef Abdur-Rahim,26,ATL,PF,21,60,.350,545,1123,.485,,,,
Jermaine O'Neal,24,IND,PF,7,21,.333,603,1239,.487,,,,
Antoine Walker,26,BOS,PF,188,582,.323,415,972,.427,,,,
Pau Gasol,22,MEM,PF,1,10,.100,568,1106,.514,,,,
Chris Webber,29,SAC,PF,5,21,.238,656,1412,.465,,,,
Juwan Howard,29,DEN,PF,2,4,.500,565,1257,.449,,,,
Zydrunas Ilgauskas,27,CLE,C,0,5,.000,495,1117,.443,,,,
Rasheed Wallace,28,POR,PF,110,307,.358,405,787,.515,,,,
Kenyon Martin,25,BKN,PF,9,43,.209,500,1039,.481,,,,
Keith Van Horn,27,PHI,PF,65,176,.369,394,776,.508,,,,
Elton Brand,23,LAC,PF,0,1,.000,451,898,.502,,,,
Kurt Thomas,30,NYK,C,2,3,.667,495,1025,.483,,,,
Amar'e Stoudemire,20,PHX,PF,2,10,.200,390,820,.476,,,,
Yao Ming,22,HOU,C,1,2,.500,400,803,.498,,,,
Donyell Marshall,29,CHI,PF,33,87,.379,388,831,.467,,,,
Clifford Robinson,36,DET,PF,87,259,.336,285,676,.422,,,,
Brad Miller,26,IND,C,5,16,.313,324,651,.498,,,,
Troy Murphy,22,GSW,PF,3,14,.214,335,735,.456,,,,
Drew Gooden,21,ORL,PF,0,2,.000,100,199,.503,,,,
Pat Garrity,26,ORL,PF,161,407,.396,151,337,.448,,,,
Rasho Nesterović,26,MIN,C,0,2,.000,400,760,.526,,,,
Eddy Curry,20,CHI,C,0,0,,335,573,.585,,,,
Brian Grant,30,MIA,C,0,0,,344,676,.509,,,,
Jamaal Magloire,24,NOP,C,0,3,.000,305,632,.483,,,,
Nenê,20,DEN,C,0,3,.000,321,616,.521,,,,
P.J. Brown,33,NOP,PF,0,3,.000,319,598,.533,,,,
Malik Rose,28,SAS,PF,2,5,.400,287,625,.459,,,,
Carlos Boozer,21,CLE,PF,0,1,.000,331,617,.536,,,,
Lorenzen Wright,27,MEM,C,0,5,.000,325,711,.457,,,,
Vlade Divac,34,SAC,C,6,25,.240,299,630,.475,,,,
